file,offset,capacity,mode,text
22/S2051.DAT,0x47B22,35,replace_e2,"대신: 아크라고 했나? 함부로 그런 말을 입에 담아서는 안 된다."
22/S2051.DAT,0x47B7E,27,replace_e2,"대신: 폐하, 이런 어린아이의 말을 믿으시려는 겁니까?"
22/S2051.DAT,0x47CA4,50,replace_e2,"대신: 이자가 전설의 용사라고 정해진 것도 아닙니다. 아직 이른 이야기입니다."
22/S2051.DAT,0x47D50,13,replace_e2,"대신: 제게 맡겨 주십시오."
22/S2051.DAT,0x47D9C,49,replace_e2,"대신: 아크, 네가 정말 정령의 힘을 받은 자인지 시험해 보겠다."
22/S2051.DAT,0x47E00,34,replace_e2,"대신: 이곳에서 북쪽으로 가면 니르바나 평원이라는 곳이 있다."
22/S2051.DAT,0x47E54,27,replace_e2,"대신: 그곳의 마물을 토벌하고 오너라."
22/S2051.DAT,0x47EA2,33,replace_e2,"대신: 토벌대는 이미 출발했다."
22/S2051.DAT,0x47EF6,32,replace_e2,"대신: 서둘러 가서 그들 앞에서 네 힘을 증명해 보아라."
22/S2052.DAT,0x47962,23,replace_e2,"대신: 어째서 토벌대 병사들은 보이지 않느냐?"
22/S2052.DAT,0x47A16,10,replace_e2,"대신: 넌 누구냐?"
22/S2052.DAT,0x47AA0,9,replace_e2,"대신: 네가?"
22/S2052.DAT,0x47B8A,46,replace_e2,"대신: 거짓말 마라. 그들은 국왕을 지키는 군 최고의 병사들이다."
22/S2052.DAT,0x47BEA,33,replace_e2,"대신: 그렇다면 너희는 도망쳐 돌아온 것이냐?"
22/S2052.DAT,0x47D26,53,replace_e2,"대신: 너희 같은 아이들이 토벌대를 전멸시킨 마물을 쓰러뜨렸다고?"
22/S2052.DAT,0x47E52,15,replace_e2,"대신: 병사들은 무엇을 하고 있느냐!"
22/S2053.DAT,0x4797A,14,replace_e2,"대신: 믿어 주겠냐고!?"
22/S2053.DAT,0x479BA,32,replace_e2,"대신: 네가 지금 누구에게 그런 말투를 쓰는지 아느냐!"
21/S2012.DAT,0x478A6,21,new_e2,"병사: 국왕의 명을 마친 뒤 돌아오시오."
21/S2012.DAT,0x478F0,4,new_e2,"..."
31/S3022.DAT,0x47CBA,18,rebuild_e2,"쿠쿠루: 우리 셋만으로 괜찮겠지?"
31/S3022.DAT,0x47D06,22,rebuild_e2,"니카라스 숲에는 안 가도 되는 걸까?"
31/S3022.DAT,0x47D52,12,rebuild_e2,"우리 셋만으로 괜찮을까?"
31/S3022.DAT,0x47D96,48,rebuild_e2,"병사: 너희 같은 애들이 마물을 쓰러뜨리겠다고? 건방진 소리 마라."
31/S3022.DAT,0x47DF8,35,rebuild_e2,"병사: 그런 일은 우리 군인에게 맡기고, 너희는 조용히 명령이나 따라."
31/S3022.DAT,0x47E54,38,rebuild_e2,"병사: 야군 장군님은 이 나라 제일의 장군이다. 거역하면 호되게 당할 거다."
31/S3022.DAT,0x47EB2,50,rebuild_e2,"병사: 루와간 숲과 센바라 늪으로 간다고? 그곳의 마물은 강하다."
31/S3022.DAT,0x47F16,35,rebuild_e2,"병사: 먼저 니카라스 숲에서 힘을 시험해 보는 게 어때?"
