offset,capacity,text
0x47FF8,35,승무원|아크님|밀마나로 출발합니다
0x4804E,51,밀마나 입국 뒤에는|허가 없이 타국에 못 갑니다
0x480B4,41,승무원|밀마나 괴물은|아주 강합니다
0x48118,16,준비됐나요
0x48160,44,@좋아|@자신 없어|@싸우는 법 몰라|
0x481CC,17,승무원|타세요
0x482C2,24,승무원|기다릴게요
0x4834C,24,승무원|자신 없다면서
0x48398,10,무슨 말
0x483D4,22,승무원|아니 아무것도
0x48440,16,승무원|뭘 원해
0x48488,45,@강해지는 법|@전투 요령|@그만|
0x484FE,35,다른 나라에도|괴물이 있습니다
0x48554,31,승무원|계속 싸우면|강해집니다
0x485A6,65,승무원|괴물 힘은 그대로라|자신에 맞는 곳을 선택하세요
0x4861A,44,승무원|이런 전장은|열 곳이 넘습니다
0x48684,46,자기 차례에|두 키를 함께 누르면|자유 이동
0x486E4,47,자유 이동으로|지형을 보고 작전을 세우세요
0x48746,65,승무원|분열 괴물은 체력이 반이지만|경험치는 같습니다
0x487BA,25,승무원|활용하세요
0x4880A,43,승무원|밀마나로 출발합니다|준비됐나요
