file,offset,capacity,text
31/S3023.DAT,0x47D22,18,스메리아가 그립다
31/S3023.DAT,0x47D6C,23,병사|벌써 겁먹었나?
31/S3023.DAT,0x47DB6,21,병사|너희론 무리다!
31/S3023.DAT,0x47E04,22,병사|괴물이 강하다고?
31/S3023.DAT,0x47F10,28,병사|장군 허가 없인 못 타.
31/S3023.DAT,0x47F64,55,병사|식량 수송대가 자꾸 습격받아|열차를 쓰게 됐지.
31/S3023.DAT,0x47FCE,31,병사|국민은 우리 덕에 산다.
31/S3023.DAT,0x48026,25,병사|여기 괴물은 강하지?
31/S3023.DAT,0x48072,18,병사|힘껏 해 봐라.
31/S3023.DAT,0x48114,28,병사|장군과의 약속을 지켜라.
31/S3023.DAT,0x48232,31,아이|형은 어디서 왔어?|놀아 줄래?
31/S3023.DAT,0x482A8,12,아이|이거 줄게
31/S3023.DAT,0x48326,6,고마워
31/S3023.DAT,0x48362,27,아이|돌은 다 줬어.|다음에 봐.
31/S3023.DAT,0x48426,29,남자|이젠 괴물 소굴입니다.
31/S3023.DAT,0x4847C,28,남자|제법 잘 섞여든 것 같군.
31/S3023.DAT,0x486CA,7,나가?
31/S3024.DAT,0x45CC8,21,병사|이젠 들어갈 일 없소.
31/S3024.DAT,0x45D18,17,이젠 텅 비었어.
31/S3024.DAT,0x45D64,6,또왔네
31/S3024.DAT,0x45DF0,17,늘 한가하구먼.
31/S3024.DAT,0x45E3C,16,여긴 그대로군.
31/S3024.DAT,0x45E86,11,뭐 없나?
31/S3024.DAT,0x45ECA,37,병사|흥!|좀 강하다고 우쭐대지 마.
31/S3024.DAT,0x45F7A,31,병사|국민은 우리 덕에 산다.
31/S3024.DAT,0x45FD2,52,병사|저건 로마리아 중고래.|거긴 더 좋은 열차가 있나?
31/S3024.DAT,0x46038,38,병사|로마리아 몰라?|서쪽 최대 강국이야.
31/S3024.DAT,0x46096,28,병사|20년 전|스메리아와 전쟁
31/S3024.DAT,0x460E4,29,병사|뭐 달라질 건 없지만.
31/S3024.DAT,0x461E4,31,병사|강하다며?|우리 군에 들어올래?
31/S3024.DAT,0x46262,37,노인|괴물 뒤론|군 식량을 사야 해.
31/S3024.DAT,0x462BA,21,노인|싸진 않다네.
31/S3024.DAT,0x46308,35,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
31/S3024.DAT,0x4635E,21,노인|그게 결코 싸지 않다네.
31/S3024.DAT,0x463FE,35,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
31/S3024.DAT,0x46454,21,노인|그게 결코 싸지 않다네.
31/S3024.DAT,0x4649C,30,아이|앗! 엘리멘털 버스터 형이다.
31/S3024.DAT,0x464F2,35,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
31/S3024.DAT,0x46548,21,노인|그게 결코 싸지 않다네.
31/S3024.DAT,0x46590,30,아이|앗! 돌 마스터 버스터 형이다.
31/S3024.DAT,0x465E6,35,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
31/S3024.DAT,0x4663C,21,노인|그게 결코 싸지 않다네.
31/S3024.DAT,0x46684,33,아이|앗! 자이언트 배트 버스터다.
31/S3024.DAT,0x466DE,35,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
31/S3024.DAT,0x46734,21,노인|그게 결코 싸지 않다네.
31/S3024.DAT,0x4677C,29,아이|앗! 프리지 버스터 형이다.
31/S3024.DAT,0x467D2,35,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
31/S3024.DAT,0x46828,21,노인|그게 결코 싸지 않다네.
31/S3024.DAT,0x46870,31,아이|앗! 야생 헤모지 버스터다.
31/S3024.DAT,0x468C8,35,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
31/S3024.DAT,0x4691E,21,노인|그게 결코 싸지 않다네.
31/S3024.DAT,0x46966,32,아이|앗! 뱀파이어 배트 버스터다.
31/S3024.DAT,0x469BE,35,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
31/S3024.DAT,0x46A14,21,노인|그게 결코 싸지 않다네.
31/S3024.DAT,0x46A5C,30,아이|앗! 데스 플레임 버스터다.
31/S3024.DAT,0x46AB2,35,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
31/S3024.DAT,0x46B08,21,노인|그게 결코 싸지 않다네.
31/S3024.DAT,0x46B50,28,아이|앗! 광대 버스터 형이다.
31/S3024.DAT,0x46BA4,35,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
31/S3024.DAT,0x46BFA,21,노인|그게 결코 싸지 않다네.
31/S3024.DAT,0x46C42,32,아이|앗! 애시드 슬라임 버스터다.
31/S3024.DAT,0x46C9A,35,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
31/S3024.DAT,0x46CF0,21,노인|그게 결코 싸지 않다네.
31/S3024.DAT,0x46D38,34,아이|앗! 엘리멘털 마스터 버스터다.
31/S3024.DAT,0x46D92,35,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
31/S3024.DAT,0x46DE8,21,노인|그게 결코 싸지 않다네.
31/S3024.DAT,0x46E30,40,아이|상대가 사라졌네.|대단해. 이거 줄게.
31/S3024.DAT,0x46EF6,35,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
31/S3024.DAT,0x46F4C,21,노인|그게 결코 싸지 않다네.
31/S3024.DAT,0x46F94,40,아이|상대가 없네.|준 거 쓰고 있어?
31/S3024.DAT,0x47064,27,남자|이젠 괴물 소굴이 됐습니다.
31/S3024.DAT,0x470B8,33,남자|이제 제멋대로입니다.|히히히히!
31/S3024.DAT,0x476B8,14,병사|들어가십시오.
31/S3024.DAT,0x477C2,7,나가?
