offset,expected_hex,text
0x47A4C,66 68 25 e6 01 47 78 6b 42 20 33 1c dd 33 7e 2f 3b 45 32 1e 27 1e 1f 37,스메리아 사절입니다
0x47AB0,bb 80 34 25 e6 01 2e 2d 1d 96 dd 0d 1c de 09 87 2f 3a 59 33 32 22 36 28 e6 01 43 1e 38 58 20 23 3a 32 1f 38 1c 35 1d 37,아이 상대라니|나를 무시하는군
0x47B9C,47 78 6b 42 20 33 9a 1f 42 31 4e 30 2b 37,스메리아 아크
0x47BDC,bb 80 34 25 e6 01 dd 3a 53 64 31 7c 5e ba 92 dd 25 dd 89 ba 1c bb 80 34 30 2b 37 e6 01 5c dd 14 31 dd 6d 1c dd 10 23 74 44 1f 1b 2d 30 1e 1f 1d 3c,장군|밀마나 장군이다|토요케 숲에 가나
0x47C40,bb 80 34 25 e6 01 1e 20 1e 1d 2a 33 24 41 32 28 96 dd 0d 23 28 dd 6f dd e5 35 1d e6 01 de 18 de 40 2b dd 7d 22 37,장군|아이에게는 너무 위험해
0x47C98,bb 80 34 25 e6 01 27 3f 43 dd 3d 43 dd 3d 9a 21 38 33 29 21 e6 01 79 dd f3 de 50 1d 2e 36 35 2a e6 01 3b dd c5 39 1b 1f 35 3e 1e 20 1d 1b 30 2b 1d 37,장군|돌아가시오
0x47D12,4b 73 29 36 24 8c 1b ca 2d 1d 91 1b dd 65 4a 48 1d 1b 37,그런 말은 너무해
0x47D5A,96 dd 0d 24 96 dd 0d 29 21 e6 01 2e 32 30 38 47 78 6b 42 5d 1c cc 30 9a 21 1b 22 1c 3d 37,아이라 하지 마|왕의 명이다
0x47DAC,44 4b 2d 36 dd 9a 2b 22 1c 2a e6 01 2b 4a 29 21 38 2d 4a 48 1d 1b 1c 3c,제대로 대해
0x47E08,bb 80 34 25 e6 01 2e 32 28 dd dc dd 6e 1e 27 1e 1f 1d 24 3b de a1 3a 2d 37,장군|미안합니다
0x47E54,bb 80 34 25 e6 01 1f 35 24 85 28 4d 4f 1c 5e 20 33 dd 71 9f dd f4 1d 61 2f dd 09 29 1f 63 68 2a 1b 33 29 1e 48 22 36 d3 1b 21 1b 1f 38 1c 30 2b 20 33 df 61 df 61 37,장군|정령국에서|신비한 전사가 온다기에
0x47EBE,bb 80 34 25 e6 01 1e 20 38 c8 24 dd 10 28 5f 34 47 62 31 35 33 49 30 50 dd 15 e6 01 de 18 de 40 1d 89 c2 1d 2d 30 2b 3d 37,장군|숲은 괴물투성이라|위험하다
0x47F1A,bb 80 34 25 e6 01 dd 33 7e 1c c4 2a cc 30 38 dd a4 36 3a 32 1f 33 e6 01 41 32 2e 41 47 78 6b 42 5d 23 de d8 1e 43 49 2a dd 36 1f 1d 1b,장군|사절이 다치면|국왕께 할 말이 없다
0x47F8C,bb 80 34 25 e6 01 28 29 28 29 28 29 28 29 37,장군|하하하하
0x47FDE,c8 91 29 1f 24 dd 71 9f dd f4 1d 61 2f dd 09 45 63 68 2a ad 83 30 2b 37 e6 01 da 28 dd b1 de 78 1d 1b 30 1e 73 26 3c,그 전사가 우리야|나이는 관계없어
0x4803A,41 26 3d 37 e4 1f e6 01 3f 2d 1f 6d 1f 1b 23 e6 01 df 11 2a 56 1f dd 89 ba 3d 39 e6 01 39 29 75 23 63 46 22 28 8c 35 43 02,그래^나도 이긴다
0x480B0,bb 80 34 25 e6 01 df 61 df 61 1b 1b 30 1e 73 26 37 e4 1f e6 01 3f 1d 1f 2a 1f 1c 61 2f a0 59 21 38 33 1b 27 1e 73 26 37,장군|좋다^그 힘을 시험한다
0x4810A,bb 80 34 25 e6 01 dd 2b de 44 28 2e 1c de 2a de 44 30 38 5f 34 47 62 31 2a dd 8c 43 32 22,장군|여기에도 괴물이 나온다
0x4815A,bb 80 34 25 e6 01 41 2e 30 24 41 1c 61 36 40 33 2f dd 33 29 21 e6 01 5f 34 47 62 31 2f dd 83 1e 21 1b 1f 35 44 27 1e 73 26 37,장군|그 힘으로|괴물을 물리쳐라
0x481B6,bb 80 34 25 e6 01 2e 1c 3f 1f 39 1c 5f 34 47 62 31 38 dd 83 59 1d 1b 3d 26 30 28 24 dd 10 23 28 36 26 21 1b 74 49 27 59 2d 20 33 1d 37,장군|괴물도 못 이기면|숲에는 못 간다
0x48246,bb 80 34 25 e6 01 2e 1c c4 83 2a 24 63 89 2f a0 de 4a 1e 1f 1b 41 26 35 37 e6 01 3b 27 46 2a dd 82 74 1e 21 3b a0 59 1e 55 37,장군|전장에 함께 가라
0x482A2,bb 80 34 25 e6 01 38 1e 38 1c 7a 2a 3f 29 1f 33 8e 50 7a 35 6a 37 e6 01 dd 11 1e 21 3b dd 1e 39 2b 22 1c 35 37,장군|일이 있으면|지켜라
0x48308,bb 80 34 25 e6 01 6d 1d 3a 2d 2f e6 01 5b 53 dd a0 7f 1c dd 10 5a 24 5b dd 60 34 af 57 1c df 34 5a e6 01 1c 13 20 c2 23 dd e3 dd 81 3a 59 27 2b 37,장군|두 전장에 가게 한다
0x4836C,bb 80 34 25 e6 01 27 8c 28 24 41 2e 1c 5f 34 47 62 31 36 e6 01 63 29 21 6d 21 70 3a 1b 37,장군|우선 괴물과|싸우라
0x483BC,bb 80 34 25 e6 01 41 32 30 28 24 2b 58 33 1e 1b 63 dd 1f 2f de 17 98 1e 21 e6 01 3b 39 27 2b 6a 37,장군|좋은 전과를 기대한다
0x4841E,bb 80 34 25 e6 01 3b dd e4 32 1e 55 37,장군|가라
0x4845E,66 68 25 e6 01 28 29 37,좋습니다
