offset,expected_hex,text
0x478C4,5e 5d 25 e6 01 41 1c cf 24 dd 4b 1c dd ab 1e 1f 1c 2a e6 01 5b 52 dd a3 2a dd 40 dd 95 2b 22 5a 36 1b 26 91 dd 61 1d 1c 35 37,국왕|형의 유언은|인류가 망한다는 것
0x47926,50 8b 25 e6 01 5d 27 30 41 1c 3d 26 1d 7a 2f 38 26 3a 32 21 28 df 61 df 61 37,대신|폐하 그리하시면……
0x47978,5e 5d 25 e6 01 5f 34 47 62 31 2a 3f 58 32 24 de fd de 68 1d 2e 36 2a dd 9b 3e c8 23 1d 29 21 dd 4b 1c 91 dd 61 36 24 2e 1c dd 07 dd ec 2a 9f 1b dd c4 2e 3a 32 22 1c 35 37,국왕|괴물이 이어지니|형의 말이 떠오른다
0x479E4,5e 5d 25 e6 01 42 31 4e 3d 24 d7 d1 36 97 1f 39 30 dd 3a 53 64 31 7c 1c e6 01 5c dd 14 31 dd 6d 1c dd 10 23 74 44 dd 4b 2a 6e 2f a0 1f 20 24,국왕|아크 쿠쿠루와 밀마나에서|형이 본 것은
0x47A46,5e 5d 25 e6 01 41 1e 21 5b cd dd 1a 5a 2a 2e 1c 5e 1c 54 2e 23 3f 22 1c 20 54 26 2b 32 58 87 23 86 32 22 2e 36 2a 30 44 22 1c 20,국왕|성궤의 위치와|얻는 법을
0x47AA4,5e 5d 25 e6 01 41 32 2f dd 86 dd 35 21 44 21 dd 24 1e 1b 1c 4a 48 37,국왕|그걸 조사하라
0x47AFC,5d cb 24 85 38 13 52 23 dd 82 74 3a 59 21 3e 35 3a 1b 37,함께 가겠습니다
0x47B5A,5e 5d 25 e6 01 3b 27 46 28 3c,누구냐
0x47B9E,cd 90 60 8f 34 9b 2f dd a8 dd 06 dd 1e 22 8e dd 9c 1c de 01 30 4e 4e 53 36 38 26 1e 27 2b 37,시온산을 지킨|쿠쿠루입니다
0x47BF6,5e 5d 25 e6 01 3b 27 46 2a 24 5c 71 dd 39 dd 03 53 1c dd a0 65 5c dd 5e 1c de 01 20 37,국왕|와이트가의 딸이구나
0x47C4E,85 1c 61 28 24 5d dd 5e 35 49 1c 1f 51 1c 38 1c 30 28 1d 3e,왕가만의 힘이 아냐
0x47C96,dd 47 7e 36 61 2f dd ac 43 59 52 1c dd 93 9a 2f 45 3e 22 1f 51 1c 38 1c 36 dd 69 de 58 dd be 30 c6 39 27 1e 1f 37,용사와 힘을 합쳐|인류의 미래를 위해
0x47CF0,41 1c 7a 2f de 0c dd 92 1e 1f 1b 1c 30 2b 37,제가 증명할게요
0x47D32,50 8b 25 e6 01 3b 27 46 1c 3d 26 1d dd 88 de 01 2a df 61 df 61 37,대신|어린 계집이……
0x47D80,5e 5d 25 e6 01 3d 20 55 26 37 e4 1f e6 01 14 52 30 dd 04 3e 2a 3d 1b 37 e6 01 dd 18 dd 4a 23 dd 72 74 de 0b 2f dd 3e dd e2 3a 59 21 3f 22 37,국왕|좋다^함께 가라|비행선을 준비하마
0x47DE2,5e 5d 25 e6 01 de 17 98 1e 21 3b 22 6a 37,국왕|기대하마
0x47E3C,27 20 59 21 3e 35 3a 1b 37,맡겨요
