file,offset,capacity,scene,text
1/S1031.DAT,0x4787A,9,house_return,"엄마..."
D/SD011.DAT,0x47B60,29,house_return,"그 불을 줘. 내가 다시 붙이고 올게."
D/SD011.DAT,0x47D58,25,house_return,"걱정 마. 불은 내가 다시 붙이고 올게."
D/SD011.DAT,0x47D78,8,house_return,"아크..."
23/S2061.DAT,0x485DC,1,reed_short,"!"
F/SF0D1.DAT,0x4788C,12,reed_aftermath,"하면 잘하잖아."
F/SF0D1.DAT,0x478DA,37,reed_aftermath,"아크는 신기해. 너와 있으면 힘이 솟는 것 같아."
F/SF0D1.DAT,0x4793C,26,reed_aftermath,"아무튼 성으로 돌아가 국왕께 보고해야 해."
F/SF091.DAT,0x47880,62,cave_event,"이 나라 왕가에는 옛날 스메리아에 전해진 성궤의 전설이 대대로 이어진다."
F/SF091.DAT,0x478F0,6,cave_event,"전설에 따르면,"
F/SF091.DAT,0x47928,42,cave_event,"옛날 인간의 왕이 오만해져 천계로 올라 신마저 지배하려 했고,"
F/SF091.DAT,0x47984,34,cave_event,"신의 노여움을 사 인류는 한 번 멸망했다고 한다."
F/SF091.DAT,0x479D8,33,cave_event,"그때 세상의 끝을 전해 들은 소수의 사람들이"
F/SF091.DAT,0x47A2C,52,cave_event,"인류의 유산을 성궤에 담아 신이 정한 곳 스메리아로 떠났다고 한다."
F/SF091.DAT,0x47A92,43,cave_event,"그리고 인류가 다시 멸망의 위기에 처했을 때,"
F/SF091.DAT,0x47AF0,47,cave_event,"용자가 봉인을 풀어 성궤가 유일한 구원이 되리라 전해진다."
F/SF091.DAT,0x47B52,43,cave_event,"아무도 그 전설을 믿지 않았지만, 내 형님은 믿고 계셨다."
F/SF091.DAT,0x47BB0,44,cave_event,"형님은 이십 년 전 전쟁을 막으려 밀마나로 떠났고,"
F/SF091.DAT,0x47C0E,34,cave_event,"토요케 숲에서 사라지고 말았다..."
23/S2081.DAT,0x47890,46,post_battle_cutscene,"대신: 스메리아 왕은 토우빌의 아크라는 소년에게 성궤를 찾게 할 생각입니다."
23/S2081.DAT,0x478F0,42,post_battle_cutscene,"거울: 네 수작이 용자를 깨워 버린 것 아니냐?"
23/S2081.DAT,0x4794C,27,post_battle_cutscene,"대신: 아직 그자가 용자라고 정해진 것은..."
23/S2081.DAT,0x4799A,22,post_battle_cutscene,"대신: 그자는 밀마나로 향하고 있습니다."
23/S2081.DAT,0x479E2,26,post_battle_cutscene,"거울: 좋다. 야군 장군에게 그자의 힘을 시험하게 하라."
23/S2081.DAT,0x47A2E,39,post_battle_cutscene,"거울: 그자가 용자라면 대비는 있겠지?"
23/S2081.DAT,0x47A88,19,post_battle_cutscene,"대신: 예, 생각해 두었습니다."
23/S2082.DAT,0x47890,29,post_battle_cutscene,"대신: 아크가 밀마나에서 돌아왔습니다."
23/S2082.DAT,0x478E0,19,post_battle_cutscene,"거울: 야군 장군에게 들었다."
23/S2082.DAT,0x47926,25,post_battle_cutscene,"대신: 그자의 정령력은 계속 성장하고 있습니다."
23/S2082.DAT,0x47972,32,post_battle_cutscene,"거울: 알겠다. 아크에 관해 장군들에게 알리겠다."
23/S2082.DAT,0x479C4,31,post_battle_cutscene,"거울: 성궤를 우매한 인간들에게 넘겨서는 안 된다."
23/S2082.DAT,0x47A16,13,post_battle_cutscene,"대신: 알겠습니다."
23/S2082.DAT,0x47A56,50,post_battle_cutscene,"대신: 먼저 아버지의 전갈이 오는 토우빌을 샅샅이 조사하겠습니다."
23/S2082.DAT,0x47ABA,20,post_battle_cutscene,"거울: 좋은 보고를 기다리겠다."
23/S2082.DAT,0x47B00,8,post_battle_cutscene,"대신: 예!"
