syllable,occurrences,distinct words,files,words
덜,1,1,1,덜었군(1)
학,1,1,1,견학하고(1)
색,1,1,1,색은(1)
솜,1,1,1,솜씨가(1)
랐,1,1,1,따랐을(1)
봅,1,1,1,봅니다만(1)
웃,1,1,1,웃지(1)
옮,1,1,1,옮겨(1)
암,1,1,1,암살당했습니다(1)
멀,1,1,1,멀리서(1)
둠,1,1,1,어둠의(1)
균,1,1,1,균형은(1)
푸,1,1,1,푸는(1)
뻐,1,1,1,기뻐하실(1)
앉,1,1,1,눌러앉아(1)
높,1,1,1,높입니다(1)
렉,1,1,1,컬렉션이(1)
겼,1,1,1,빼앗겼을(1)
씩,1,1,1,조금씩(1)
뱃,1,1,1,뱃속에(1)
탔,1,1,1,탔군(1)
햇,1,1,1,햇빛도(1)
꼴,1,1,1,꼴좋군(1)
켰,1,1,1,일으켰습니다(1)
뻔,1,1,1,뻔했어요(1)
겉,1,1,1,겉모습만(1)
납,1,1,1,나타납니다(1)
묘,1,1,1,묘에(1)
럴,1,1,1,그럴(1)
줍,1,1,1,줍는(1)
얕,1,1,1,얕보지(1)
홀,1,1,1,홀로(1)
쵸,1,1,1,쵸코의(1)
독,1,1,1,독차지해서는(1)
섰,1,1,1,맞섰다는군(1)
뚫,1,1,1,꿰뚫어(1)
돋,1,1,1,돋는구나(1)
곤,1,1,1,곤란하군요(1)
컬,1,1,1,컬렉션이(1)
봬,1,1,1,봬도(1)
짝,1,1,1,짝이(1)
꿰,1,1,1,꿰뚫어(1)
척,1,1,1,척하기는(1)
홉,1,1,1,아홉(1)
즉,1,1,1,즉(1)
닿,1,1,1,닿았다(1)
엉,1,1,1,엉망이(1)
틈,1,1,1,틈을(1)
돈,1,1,1,돈이(1)
챔,1,1,1,챔피언으로(1)
옵,1,1,1,무엇이옵니까(1)
딱,1,1,1,딱히(1)
쎄,1,1,1,글쎄(1)
밝,1,1,1,밝혀져(1)
낸,1,1,1,화낸다고(1)
껄,1,1,1,지껄이고(1)
렁,1,1,1,어슬렁거릴(1)
찍,1,1,1,끔찍한(1)
챈,1,1,1,눈치챈(1)
낫,1,1,1,낫지(1)
덤,1,1,1,덤으로(1)
휘,1,1,1,휘하의(1)
헉,1,1,1,헉(1)
붕,1,1,1,대붕괴(1)
짱,1,1,1,짱(1)
맥,1,1,1,맥(1)
뒷,1,1,1,뒷받침하는(1)
펼,1,1,1,펼칠(1)
쫓,1,1,1,쫓겨나는(1)
퀴,1,1,1,한바퀴(1)
힐,1,1,1,익힐(1)
랬,1,1,1,그랬더니(1)
큭,1,1,1,큭(1)
월,1,1,1,세월(1)
맑,1,1,1,맑았어(1)
겪,1,1,1,겪어(1)
렵,1,1,1,무렵(1)
뤘,1,1,1,이뤘나(1)
켈,1,1,1,스켈레톤(1)
숙,1,1,1,숙박비는(1)
묵,1,1,1,묵어도(1)
녹,1,1,1,녹음이(1)
꾀,1,1,1,꾀하고(1)
썩,1,1,1,썩어(1)
늦,1,1,1,늦습니다(1)
탈,1,1,1,찬탈을(1)
앙,2,1,2,신앙의(2)
힌,2,1,1,맞힌(2)
똑,2,1,1,똑똑히(1)
둬,2,1,2,그만둬(2)
픈,2,1,2,슬픈(2)
컨,2,1,2,컨디션이(2)
꽤,2,1,2,꽤(2)
현,2,1,1,현재(2)
얌,2,1,2,얌전히(2)
엽,2,2,2,귀엽구먼(1) 귀엽구나(1)
랜,2,2,2,오랜만인(1) 오랜만에(1)
추,2,2,2,추진하는(1) 추한(1)
깃,2,2,2,깃든(1) 깃들어(1)
뱅,2,2,1,술주정뱅이는(1) 술주정뱅이가(1)
순,2,2,2,순식간에(1) 부순(1)
채,2,2,1,채굴장입니다(1) 채굴은(1)
견,2,2,2,견학하고(1) 발견한(1)
흉,2,2,2,흉내(1) 흉악한(1)
착,2,2,2,도착한다는(1) 집착한(1)
얼,2,2,2,얼마나(1) 얼굴도(1)
툼,2,2,2,다툼에(1) 다툼으로(1)
짜,2,2,2,공짜니까(1) 진짜(1)
교,2,2,2,공교롭게도(1) 라마다교라는(1)
셈,2,2,2,셈이지(1) 셈이야(1)
컷,3,1,3,실컷(3)
쩔,3,1,3,어쩔(3)
릅,3,1,2,모릅니다(3)
퇴,3,1,2,퇴치해(3)
완,3,1,3,완전히(3)
션,3,2,3,컨디션이(2) 컬렉션이(1)
떨,3,2,3,떨어져(2) 어떨까(1)
극,3,2,2,비극을(2) 비극도(1)
취,3,3,3,취급하지(1) 취급할(1) 취하는(1)
존,3,3,2,존재에게(1) 존재라고(1) 존재를(1)
철,3,3,3,철수한다(1) 철저히(1) 철수하자(1)
업,3,3,2,업해도(1) 업해서(1) 업시키는(1)
맙,3,3,2,고맙다고(1) 고맙다는(1) 고맙지만(1)
럽,3,3,3,당황스럽겠지(1) 믿음직스럽다네(1) 자랑스럽습니다(1)
흘,3,3,3,사흘(1) 흘린(1) 흘렸을(1)
백,3,3,3,백성의(1) 백(1) 이백(1)
껴,3,3,3,느껴지지만(1) 느껴집니다(1) 느껴져(1)
몇,4,1,3,몇(4)
특,4,2,4,특수(3) 특별(1)
쩌,4,2,2,어쩌면(3) 어쩌지(1)
창,4,3,1,창고로(2) 창고나(1) 창고였어(1)
놓,4,3,4,놓고(2) 놓아줄(1) 놓을(1)
끔,4,3,4,가끔(2) 가끔은(1) 끔찍한(1)
획,4,3,3,계획에(2) 계획(1) 계획은(1)
익,4,3,3,손익(2) 익힐(1) 손익만으로(1)
벽,4,4,4,벽을(1) 벽은(1) 벽이(1) 새벽(1)
란,4,4,3,곤란하군요(1) 커다란(1) 모험가란(1) 것뿐이란(1)
권,4,4,3,여권이다(1) 여권(1) 권법가들(1) 권법을(1)
슷,5,1,5,비슷한(5)
골,5,1,5,골라(5)
캐,5,1,5,캐릭터들의(5)
겸,5,1,5,겸해서(5)
풋,5,1,1,풋내기들이었지만(5)
릭,5,1,5,캐릭터들의(5)
뼈,5,1,1,뼈대도(5)
쁘,5,3,5,바쁘다(3) 나쁘다는(1) 나쁘지(1)
청,5,3,5,엄청난(3) 대청소부터다(1) 신청하면(1)
랑,5,4,4,사랑하는(2) 자랑할(1) 사랑하고(1) 자랑스럽습니다(1)
끈,5,4,4,이끈다(2) 끈질기시군요(1) 끈질긴(1) 이끈(1)
박,5,4,4,박식하지(2) 박식한(1) 숙박비는(1) 투박한(1)
락,5,5,5,연락은(1) 연락을(1) 케락은(1) 머리카락(1) 연락해(1)
죄,5,5,4,죄인일(1) 죄인(1) 죄송합니다만(1) 죄의(1) 죄로(1)
횟,6,1,6,횟수를(6)
턴,6,1,6,턴에(6)
욱,6,2,6,더욱(5) 더욱이(1)
능,6,2,6,만능약을(5) 능력도(1)
칭,6,2,2,칭찬해(5) 칭호를(1)
귀,6,4,6,귀를(3) 귀엽구먼(1) 말귀가(1) 귀엽구나(1)
샤,6,4,4,아리바샤에(2) 아리바샤의(2) 아리바샤인가(1) 아리바샤(1)
재,6,5,4,현재(2) 존재에게(1) 존재라고(1) 존재를(1) 재미있는(1)
필,6,6,6,필요는(1) 필사적이다(1) 필요해(1) 필요했을(1) 필요하겠군(1) 필요(1)
근,6,6,4,최근에는(1) 근처에도(1) 근처의(1) 근처에서(1) 근원인(1) 근사하게(1)
깐,7,1,6,잠깐(7)
쁜,7,1,7,나쁜(7)
쨌,7,2,7,어쨌든(6) 어쨌다는(1)
등,7,2,7,등급을(6) 등을(1)
빠,7,4,7,바빠(3) 빠르구나(2) 빠진(1) 나빠지고(1)
책,8,1,8,책임지지(8)
깊,8,1,7,깊은(8)
햣,8,2,2,햣햣햣(1) 햣햣햣햣햣(1)
잊,8,3,8,잊지(5) 잊고(2) 잊었나(1)
환,8,3,8,소환수는(6) 환영합니다(1) 소환(1)
효,8,4,4,효과를(2) 효과도(1) 우효효효효(1) 효과가(1)
층,8,4,7,층이(5) 아래층이야(1) 아래층이(1) 층일수록(1)
낳,8,7,4,낳지(2) 낳습니다(1) 낳는지(1) 낳는다(1) 낳은(1) 낳고(1)
갖,9,1,8,갖고(9)
므,9,2,6,저장되므로(6) 않으므로(3)
볼,9,3,9,볼(7) 볼래(1) 볼일이(1)
참,9,6,6,참가하시겠습니까(3) 참가자(2) 참배하고(1) 참을(1) 참가해야(1) 참가(1)
찬,10,4,6,칭찬해(5) 마찬가지로(3) 찬탈을(1) 찬(1)
급,10,5,10,등급을(6) 급한(1) 취급하지(1) 취급할(1) 급격한(1)
술,10,9,7,술의(2) 술주정뱅이는(1) 술주정뱅이가(1) 부술(1) 술(1) 술도(1)
왠,11,1,11,왠지(11)
통,11,2,6,통하는(6) 통하지(5)
액,11,2,6,액세서리가(6) 액세서리도(5)
낙,11,3,6,낙오자는(5) 낙오자라니(5) 낙오자다(1)
영,12,11,7,영혼의(2) 영감은(1) 영혼이지(1) 환영합니다(1) 번영하는(1) 영감과(1)
벨,14,2,8,레벨(13) 레벨에(1)
듣,14,7,13,듣는(6) 듣도록(2) 듣고(2) 듣기(1) 듣고서야(1) 듣자(1)
축,16,1,1,축하합니다(16)
톤,16,3,10,스톤(14) 톤(1) 스켈레톤(1)
