음절,상태,등장,단어수,단어,원문,현재 번역,대체안,보류 사유
굳,검토필요,1,1,굳이(1),チョピン  / 私は、国王の命に従つただけです。 / 別段お礼には及びません。,초핀: 저는 국왕의 명을 따를 뿐입니다. 굳이 감사하실 필요는 없습니다.,,
둠,검토필요,1,1,어둠의(1),聖柩  / さっ、我が試練を受けるがいい。おのれ達自身の暗分身と戦うのだ。,"성궤: 자, 나의 시련을 받아라. 너희 자신들의 어둠의 분신과 싸우는 것이다.",,
묘,검토필요,1,1,묘에(1),兵士  / あの、それならば、王のはかにお参りしていつてくれませんか？,"병사: 저, 그러시다면 왕의 묘에 참배하고 가 주시겠습니까?",,
낫,검토필요,1,1,낫지(1),先に進んだ方が良くはないか？,먼저 나아가는 편이 낫지 않을까?,,
틈,검토필요,1,1,틈을(1),天の声  / そこにつけ込むモンスター達によつて / 滅亡にむけて進んでいる。,하늘의 목소리: 그 틈을 파고드는 몬스터들 때문에 멸망을 향해 나아가고 있다.,,
맥,검토필요,1,1,맥(1),兵士1  / あっ、あのよぼよぼのじいさんとフヌケの小僧共のこか？,"병사1: 아, 그 비실비실한 영감과 맥 빠진 꼬마 놈들 말인가?",,
햇,보류,1,1,햇빛도(1),ベみの精霊  / 日の光もあめも、そして、風も / すベて理由があつて / 今のようになつているのです。,"베미의 정령: 햇빛도 비도, 그리고 바람도 모두 이유가 있어서 지금과 같이 있는 것입니다.",,日の光을 '빛'으로만 옮기면 해가 사라진다
챔,검토필요,1,1,챔피언으로(1),モンスターをチャンピオンに / 化けさせていたのね。,몬스터를 챔피언으로 둔갑시키고 있었군요.,,
썩,검토필요,1,1,썩어(1),兵士3  / このままいけば、俺達が何もしなくても / 内部からくさつていくさ。,병사3: 이대로 두면 우리가 아무것도 하지 않아도 안에서 썩어 죽을 거야.,,
늦,검토필요,1,1,늦습니다(1),ベみの精霊  / でも、それではおそいのです。,베미의 정령: 하지만 그래서는 늦습니다.,,
