syllable,frequency,has existing glyph
이,792,1
다,773,1
는,599,1
니,552,1
지,482,1
아,472,1
을,441,1
에,435,1
가,386,1
의,358,1
하,357,1
있,351,1
어,345,1
고,321,1
그,295,1
초,281,1
핀,280,1
은,262,1
도,258,1
서,257,1
라,254,1
기,248,1
나,247,1
시,247,1
습,238,1
리,221,1
게,219,1
로,213,1
정,209,1
마,204,1
사,200,1
수,199,1
해,185,1
야,180,1
를,180,1
면,172,1
것,167,1
자,159,1
까,156,1
모,155,1
겠,155,1
오,151,1
대,148,1
만,147,1
으,144,1
들,144,1
스,139,1
령,133,1
주,128,1
신,127,1
요,124,1
인,123,1
군,120,1
한,116,1
내,114,1
여,112,1
전,110,1
터,104,1
보,103,1
승,103,1
십,101,1
입,101,1
크,100,1
무,99,1
물,95,1
힘,95,1
거,92,1
말,91,1
일,90,1
왕,86,1
제,85,1
우,83,1
않,83,1
세,82,1
없,81,1
병,81,1
버,78,1
미,75,1
때,71,1
쿠,70,1
몬,70,1
양,69,1
네,69,1
장,69,1
격,68,1
부,67,1
었,66,1
국,65,1
되,62,1
러,61,1
곳,60,1
언,60,1
당,59,1
돌,59,1
좋,58,1
베,58,0
르,57,1
알,56,1
번,56,1
뒤,55,1
원,54,1
상,53,1
구,52,1
할,52,1
안,51,1
데,51,1
했,51,1
출,50,1
공,49,1
강,48,1
소,48,1
싸,48,1
든,47,1
비,47,1
계,46,1
건,46,1
너,44,1
려,44,1
떻,43,1
받,43,1
적,42,1
래,40,1
저,40,1
명,40,1
님,40,1
바,39,1
두,38,1
던,37,1
머,37,1
발,37,1
노,37,1
루,36,1
행,36,1
위,36,1
경,35,1
목,35,1
째,35,1
남,35,1
럼,34,1
런,33,1
생,33,1
람,33,1
음,33,1
산,32,1
불,32,1
동,32,1
싶,32,1
분,32,1
히,32,1
합,32,1
과,31,1
용,31,1
간,31,1
험,31,1
았,30,1
찾,30,1
단,30,1
운,30,1
괴,30,1
법,30,1
코,30,1
잘,29,1
렇,29,1
와,28,1
날,28,1
록,28,1
얻,28,1
쪽,27,1
타,26,1
결,26,1
끝,26,1
유,26,1
누,26,1
워,26,1
토,26,1
메,26,1
캬,25,0
속,24,1
성,24,1
치,24,1
길,24,1
냐,24,1
엇,24,1
같,23,1
방,23,1
반,23,1
금,23,1
희,23,1
표,23,0
중,22,1
족,22,1
진,22,1
난,22,1
포,22,1
편,22,1
조,22,1
예,22,1
됩,22,1
망,22,1
드,22,1
온,21,1
투,21,1
류,21,1
론,21,1
배,21,1
작,20,1
손,20,1
느,20,1
형,20,1
못,20,1
줄,20,1
숲,20,1
년,19,1
걸,19,1
쓰,19,1
피,19,1
죽,19,1
녀,19,1
몰,19,1
맞,19,1
따,19,1
개,19,0
더,19,1
맡,19,1
회,19,1
질,18,1
절,18,1
테,18,1
왔,18,1
많,18,1
식,18,1
긴,17,1
릴,17,1
져,17,1
각,17,1
뭐,17,1
막,17,1
렸,17,1
임,17,1
셨,17,1
써,17,1
클,17,0
앗,17,1
팔,16,1
갈,16,1
차,16,1
템,16,1
약,16,1
문,16,1
겁,16,1
께,16,1
량,16,1
잖,16,1
역,16,1
틀,16,1
밀,16,1
쳐,16,1
축,16,0
움,15,1
울,15,1
될,15,1
넣,15,1
톤,15,0
렌,14,1
직,14,1
심,14,1
살,14,1
봐,14,1
밖,14,1
후,14,1
레,14,1
섯,14,1
꽃,13,1
웠,13,1
처,13,1
준,13,1
겨,13,1
선,13,1
슨,13,1
덕,13,1
석,13,0
감,13,1
졌,13,1
력,13,1
료,13,0
겐,13,0
꾸,13,1
답,13,1
떤,12,1
슈,12,1
함,12,1
찮,12,1
듣,12,0
악,12,1
닌,12,1
갑,11,1
향,11,1
디,11,1
된,11,1
른,11,1
멸,11,1
키,11,1
괜,11,1
믿,11,1
통,11,0
벨,11,0
액,11,0
카,11,1
벌,11,1
천,10,1
체,10,1
놈,10,1
늘,10,1
봉,10,1
뭔,10,1
촌,10,1
트,10,1
욕,10,0
낙,10,0
급,10,0
연,10,1
탁,9,1
엄,9,1
눈,9,1
줘,9,1
튼,9,1
큼,9,1
켜,9,1
점,9,1
앞,9,1
파,9,1
므,9,0
찬,9,0
케,9,1
관,9,1
씀,9,1
둘,9,1
갖,9,0
실,9,1
슬,9,1
뜨,8,1
검,8,1
떠,8,1
린,8,1
돼,8,1
뿐,8,1
외,8,1
설,8,1
왠,8,0
닙,8,1
층,8,0
깊,8,0
햣,8,0
올,7,1
헤,7,1
렴,7,1
잠,7,1
몸,7,1
숨,7,1
련,7,1
꺼,7,1
친,7,1
쁜,7,0
허,7,1
본,7,1
열,7,1
옛,7,1
볼,7,0
환,7,0
등,7,0
났,7,1
참,7,0
낳,7,0
됐,6,1
짓,6,1
왜,6,1
며,6,1
집,6,1
젠,6,1
먼,6,1
민,6,1
쌓,6,1
턴,6,0
횟,6,0
빼,6,1
책,6,0
끄,5,1
였,5,1
낼,5,1
쟁,5,1
큰,5,1
쉬,5,1
태,5,1
골,5,0
욱,5,0
캐,5,0
릭,5,0
슷,5,0
겸,5,0
억,5,1
능,5,0
프,5,1
곧,5,1
달,5,1
샤,5,0
굴,5,1
근,5,0
빛,5,0
땅,5,1
넘,5,1
뼈,5,0
풋,5,0
칭,5,0
혼,4,1
삼,4,1
접,4,1
싫,4,1
풀,4,1
름,4,1
춰,4,1
커,4,1
옆,4,1
깨,4,1
붙,4,1
침,4,1
뜻,4,1
립,4,1
굉,4,1
화,4,1
놀,4,1
죄,4,0
씨,4,1
창,4,0
옥,4,1
깐,4,0
황,4,1
활,4,1
영,4,0
최,4,1
훌,4,1
륭,4,1
또,4,1
애,4,1
잊,4,0
쩌,4,0
둔,3,1
별,3,1
텐,3,1
품,3,1
옷,3,1
걱,3,1
밤,3,1
쉽,3,1
확,3,1
복,3,1
응,3,1
좀,3,1
솟,3,1
봤,3,1
끌,3,1
널,3,1
롭,3,1
쳤,3,1
술,3,0
귀,3,0
칠,3,1
뛰,3,1
획,3,0
델,3,1
흥,3,1
몇,3,0
변,3,1
잡,3,1
특,3,0
빌,3,1
락,3,0
례,3,1
흘,3,0
퇴,3,0
릅,3,0
새,3,1
취,3,0
끼,3,1
청,3,0
란,3,0
빠,3,0
효,3,0
갔,3,1
끈,3,0
뀌,2,1
율,2,1
백,2,0
껐,2,1
판,2,1
쇠,2,1
갚,2,1
쓴,2,1
닫,2,1
읽,2,1
혀,2,1
꼬,2,1
폐,2,1
뱅,2,0
랜,2,0
뭘,2,1
깁,2,1
권,2,0
필,2,0
림,2,1
쓸,2,1
북,2,1
빨,2,1
즘,2,1
완,2,0
셔,2,1
깃,2,0
쁘,2,0
셋,2,1
쯤,2,1
먹,2,1
송,2,1
앙,2,0
엘,2,1
멘,2,1
털,2,1
멋,2,1
견,2,0
툼,2,0
똑,2,0
존,2,0
재,2,0
랑,2,0
놓,2,0
쨌,2,0
박,2,0
힌,2,0
풍,2,1
매,2,1
채,2,0
극,2,0
규,1,1
딸,1,1
월,1,0
벗,1,1
웬,1,1
꼭,1,1
평,1,1
범,1,1
뛸,1,1
뛴,1,1
듭,1,1
엔,1,1
푼,1,1
끊,1,1
짊,1,1
섬,1,1
괄,1,1
둬,1,0
짱,1,0
엽,1,0
꽤,1,0
펼,1,0
맑,1,0
뤘,1,0
호,1,1
솜,1,0
섰,1,0
쫓,1,0
썼,1,1
덜,1,0
돕,1,1
증,1,1
옵,1,0
묘,1,0
뻐,1,0
랐,1,0
딱,1,0
녔,1,1
담,1,1
봅,1,0
찌,1,1
킨,1,1
교,1,0
탈,1,0
꾀,1,0
헉,1,0
흩,1,1
훨,1,1
씬,1,1
즐,1,1
떡,1,1
큭,1,0
옮,1,0
줍,1,0
렁,1,0
껏,1,1
픈,1,0
줬,1,1
섞,1,1
텅,1,1
짝,1,0
쭐,1,1
뱀,1,1
플,1,1
광,1,1
봬,1,0
잃,1,1
납,1,0
학,1,0
탑,1,1
듯,1,1
뻔,1,0
벽,1,0
햇,1,0
균,1,0
늦,1,0
높,1,0
독,1,0
겪,1,0
썩,1,0
닿,1,0
럽,1,0
얼,1,0
끔,1,0
챈,1,0
쩔,1,0
셈,1,0
휴,1,1
붕,1,0
묵,1,0
숙,1,0
브,1,1
쵸,1,0
색,1,0
랬,1,0
챔,1,0
낫,1,0
렵,1,0
녹,1,0
순,1,0
켰,1,0
씩,1,0
득,1,1
맙,1,0
홀,1,0
웃,1,0
덤,1,0
얽,1,1
꺄,1,1
퍼,1,1
즉,1,0
푸,1,0
럴,1,0
궤,1,1
