category,japanese,guidebook,current_patch,decision,final,new_glyphs_needed,reason,note,page
item,ねばねば,끈끈이,끈끈이,already_matches,끈끈이,,,민첩성 저하,4
item,やる気ゼリー,원기 젤리,,not_in_patch,원기 젤리,,현재 UI 테이블에 해당 문자열 없음,헤모지 회복,4
item,みなぎる果実,충만 과실,넘치는 열매,hybrid,넘치는 과실,,"과실 구분은 채택, 형용사는 みなぎる에 더 가까운 '넘치는' 유지",레벨 상승,4
item,回復果物,회복 과실,회복 열매,adopt_guide,회복 과실,,果物은 과실. 새 글리프 불필요,HP 60 회복,4
item,しびれるりんご,마비 사과,마비 사과,already_matches,마비 사과,,,,4
item,石,돌,돌,already_matches,돌,,,던져서 타격,4
item,レコの草,레코의 풀,,not_in_patch,레코의 풀,,현재 UI 테이블에 해당 문자열 없음,방어력 상승,4
item,薬草,약초,약초,already_matches,약초,,,HP 20 회복,4
item,毒薬,독약,,not_in_patch,독약,,현재 UI 테이블에 해당 문자열 없음,,4
item,ルヴの薬,루우의 약,,not_in_patch,루우의 약,,현재 UI 테이블에 해당 문자열 없음,마비 회복,4
item,すばやさの薬,민첩성의 약,민첩의 약,adopt_guide,민첩성의 약,,공략본이 더 구체적이고 새 글리프 불필요,,4
item,小さい爆弾,작은 폭탄,작은 폭탄,already_matches,작은 폭탄,,,,4
item,大きい爆弾,큰 폭탄,큰 폭탄,already_matches,큰 폭탄,,,,4
item,万能薬,만능약,만능약,already_matches,만능약,,,석화 외 모든 이상 회복,4
item,聖水,성수,성수,already_matches,성수,,,독 해독,4
item,復活の薬,부활의 약,부활약,adopt_guide,부활의 약,,축약형보다 원문에 충실하고 새 글리프 불필요,전투불능 부활,4
item,攻撃瓶,공격 항아리,공격 항아리,already_matches,공격 항아리,,,,4
item,眠りの玉,잠드는 구슬,,not_in_patch,잠드는 구슬,,현재 UI 테이블에 해당 문자열 없음,,4
item,弱り玉,약함의 구슬,,not_in_patch,약함의 구슬,,현재 UI 테이블에 해당 문자열 없음,,4
