행번호,파일,줄임,전,후
758,31/S3014.DAT,1,초핀: 언제든 정비하여 기다리고 있습니다.,초핀: 언제든 정비 후 기다리고 있습니다.
762,31/S3014.DAT,1,초핀: 언제든 정비하여 기다리고 있습니다.,초핀: 언제든 정비 후 기다리고 있습니다.
768,31/S3014.DAT,1,초핀: 언제든 정비하여 기다리고 있습니다.,초핀: 언제든 정비 후 기다리고 있습니다.
776,31/S3014.DAT,1,초핀: 이를 피하려면 적의 뒤나 옆으로 돌아 들어가 공격하면 됩니다.,초핀: 이를 피하려면 적의 뒤나 옆으로 돌아들어가 공격하면 됩니다.
786,31/S3014.DAT,1,잘도 말하는군.,잘도말하는군.
793,31/S3014.DAT,1,초핀: 모든 사람이 공격에 알맞은 것은 아닙니다.,초핀: 모두가 공격 역할에 어울리는 것은 아닙니다.
803,31/S3014.DAT,1,맡길 리가 없잖아!,맡길리가 없잖아!
810,31/S3014.DAT,1,"초핀: 실력도 시험해 볼 겸, 가끔 들러 보는 것도 좋지 않을까요?","초핀: 실력도 시험해 볼겸, 가끔 들러 보는 것도 좋지 않을까요?"
775,31/S3014.DAT,2,"초핀: 적을 공격했을 때 반격을 받아, 피해를 입을 때가 있습니다.","초핀: 적을 공격했을 때반격을 받아, 피해를 입을때가 있습니다."
798,31/S3014.DAT,2,초핀: 아라라토스의 유적 던전은 층이 상당히 많은것 같습니다.,초핀: 아라라토스의 유적던전은 층이상당히 많은것 같습니다.
828,31/S3014.DAT,2,초핀: 몬스터가 많은 곳에서 써 보시는 건 어떻겠습니까?,초핀: 몬스터가 많은 곳에서써 보시는건 어떻겠습니까?
832,31/S3014.DAT,2,"초핀: 고겐 님께 하나, 마지막은 아크 님의 아버님이 가지고 계셨다고 합니다.","초핀: 고겐님께 하나, 마지막은 아크님의 아버님이 가지고 계셨다고 합니다."
1005,32/S3051.DAT,2,병사: 계속 따라와 주십시오.,병사: 따라와 주십시오.
1006,32/S3051.DAT,2,이 근처에서 사라졌는데 말이야...,이근처에서사라졌는데 말이야...
1751,6/S6054.DAT,1,라마다 승려: 이거 이거. 톨 마스터 버스터 여러분.,라마다승려: 이거 이거. 톨마스터버스터 여러분.
1753,6/S6054.DAT,1,라마다 승려: 이거 이거. 프리지 버스터 여러분.,라마다승려: 이거 이거. 프리지버스터 여러분.
1754,6/S6054.DAT,1,라마다 승려: 이거 이거. 야생 헤모지 버스터 여러분.,라마다승려: 이거 이거. 야생 헤모지버스터 여러분.
1776,6/S6054.DAT,1,라마다 승려: 9번째 도전이군요. 그럼 이쯤에서 어떠십니까?,라마다승려: 9번째 도전이군요. 그럼 이쯤에서 어떠십니까?
1748,6/S6054.DAT,2,환수의 어금니를 받았습니다.,환수의어금니를받았습니다.
1750,6/S6054.DAT,2,라마다 승려: 이거 이거. 엘리멘탈 버스터 여러분.,라마다승려: 이거 이거.엘리멘탈 버스터 여러분.
1759,6/S6054.DAT,2,라마다 승려: 이거 이거. 엘리멘탈 마스터 버스터 여러분.,라마다승려: 이거 이거. 엘리멘탈 마스터버스터 여러분.
1761,6/S6054.DAT,2,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.
1763,6/S6054.DAT,2,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.
1765,6/S6054.DAT,2,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.
1767,6/S6054.DAT,2,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.
1769,6/S6054.DAT,2,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.
1771,6/S6054.DAT,2,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.
1773,6/S6054.DAT,2,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.
1775,6/S6054.DAT,2,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.
1777,6/S6054.DAT,2,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.
1779,6/S6054.DAT,2,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.
1781,6/S6054.DAT,2,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.
2505,C2/SC0B6.DAT,1,넘치는 과실을 손에 넣었다.,넘치는 과실을 손에넣었다.
2506,C2/SC0B6.DAT,1,20번째 승리를 목표로 힘내 주십시오.,20번째 승리를 목표로힘내 주십시오.
2508,C2/SC0B6.DAT,1,20번째 승리를 목표로 힘내 주십시오.,20번째 승리를 목표로힘내 주십시오.
