index,japanese_name,korean_name,korean_description,notes
0,ねばねば,둔화제,민첩 일시 감소,일시적으로 민첩 저하
1,やる気ゼリー,기력제,헤모지 회복,헤모지 상태 회복
2,みなぎる果実,활력제,단계 1 상승,레벨 1 상승
3,回復果物,회복제,체력 60 회복,HP 약 60 회복
4,しびれるりんご,마비옥,마비 부여,마비 상태 부여
5,石,돌,던져서 피해,투척 피해
6,レコの草,레코풀,방어력 상승,방어력 상승
7,薬草,약초,체력 20 회복,런타임 검증 완료
8,毒草,위험풀,지속 피해 부여,독 상태 부여
9,ルウの薬,루우약,마비 회복,마비 상태 회복
10,すばやさの薬,민첩약,민첩 일시 상승,일시적으로 민첩 상승
11,小さい爆弾,소폭약,던져서 피해,소형 폭탄
12,大きい爆弾,큰폭약,던져서 피해,대형 폭탄
13,万能薬,만병약,상태 이상 회복,대부분의 상태 이상 회복
14,聖水,성수,지속 피해 해제,독 상태 회복
15,復活の薬,부활약,쓰러진 대상 부활,전투 불능 회복
16,攻撃瓶,공격약,공격력 일시 상승,일시적으로 공격력 상승
17,眠り玉,수면옥,수면 부여,수면 상태 부여
18,弱りの玉,약화옥,공격 방어 일시 감소,공격력과 방어력 저하
19,ちからの実,힘열매,공격력 상승,공격력 영구 상승
20,パロの実,파로열매,민첩 상승,민첩 영구 상승
21,いのちの木の実,생명열매,최대 체력 2 상승,최대 HP 2 상승
22,魔力の葉,마력초,마력 상승,마력 영구 상승
23,魔力の泉,마력수,최대 마력 2 상승,최대 MP 2 상승
24,目つぶしの草,눈가림,명중 감소,암흑 상태 부여
25,苦い葉,쓴풀,방어력 일시 상승,일시적으로 방어력 상승
26,石解けハリ,돌해제침,돌 상태 회복,석화 상태 회복
27,痛烈なハリ,봉인침,봉인 상태 회복,마법 봉인 상태 회복
28,召喚のつぼ,부름병,몬스터 부름에 사용,몬스터 소환용
