table_key,index,japanese,korean,encoded_bytes,encoded_hex,pointer_offset,string_offset,source
equipment_name,0,炎の守り,불꽃의 수호,11,E9 7E E9 1F E9 BD 9C E9 8D EA 8F,0x804A4,0x80224,project_translation+local_guide_reference
equipment_name,1,氷の守り,얼음의 수호,11,EA 5C E9 BC E9 BD 9C E9 8D EA 8F,0x804A8,0x80230,project_translation+local_guide_reference
equipment_name,2,アンチへモジー,안티 헤모지,11,E9 9C EA 86 9C EA 11 E9 5F E9 D9,0x804AC,0x8023C,project_translation+local_guide_reference
equipment_name,3,いやしのお守り,치유의 부적,11,E9 E6 E9 B7 E9 BD 9C E9 7B E9 C9,0x804B0,0x80248,project_translation+local_guide_reference
equipment_name,4,きぬのおび,비단 허리띠,11,E9 80 E9 2E 9C EA 0F E9 4F EA 2F,0x804B4,0x80254,project_translation+local_guide_reference
equipment_name,5,魔法のカート,마법 카드,9,E9 52 E9 73 9C E9 E8 E9 3B,0x804B8,0x80260,project_translation+local_guide_reference
equipment_name,6,スリー<N:フ:11><N:リ:12>スカート,수면 방지 카드,14,E9 8D E9 5C 9C E9 6E E9 D9 9C E9 E8 E9 3B,0x804BC,0x8026A,project_translation+local_guide_reference
equipment_name,7,パワーアーム,파워 암,7,E9 F8 E9 B4 9C EA 58,0x804C0,0x80279,project_translation+local_guide_reference
equipment_name,8,カ<N:｣:11><N:ザ:8>ー<N:ク:12>ローフ,카이저 글러브,13,E9 E8 E9 BE E9 C8 9C E9 1A E9 42 E9 7F,0x804C4,0x80281,project_translation+local_guide_reference
equipment_name,9,幻のこて,환상의 장갑,11,EA 90 E9 85 E9 BD 9C E9 C7 E9 05,0x804C8,0x8028F,project_translation+local_guide_reference
equipment_name,10,サン<N:ク:12>ラス,선글라스,8,E9 89 E9 1A E9 3F E9 90,0x804CC,0x8029B,project_translation+local_guide_reference
equipment_name,11,当て方の絵巻,명중의 두루마리,15,E9 5E E9 D7 E9 BD 9C E9 3A E9 4A E9 52 E9 4F,0x804D0,0x802A4,project_translation+local_guide_reference
equipment_name,12,ぶん投げの絵巻,투척의 두루마리,15,E9 F5 EA 71 E9 BD 9C E9 3A E9 4A E9 52 E9 4F,0x804D4,0x802B4,project_translation+local_guide_reference
equipment_name,13,神のこぶし,신의 주먹,9,E9 95 E9 BD 9C E9 D4 E9 58,0x804D8,0x802C4,project_translation+local_guide_reference
equipment_name,14,バ<N:｣:11>オ<N:リ:12>ット<N:リ:12>ーサー,바이올렛 레이저,15,E9 6A E9 BE E9 AA EA 36 9C E9 44 E9 BE E9 C8,0x804DC,0x802CE,project_translation+local_guide_reference
equipment_name,15,<N:ネ:13>ック<N:リ:12>ス,목걸이,6,E9 60 E9 09 E9 BE,0x804E0,0x802DE,project_translation+local_guide_reference
equipment_name,16,じ<N:ぃ:20>す,염주,4,EA 60 E9 D4,0x804E4,0x802E5,project_translation+local_guide_reference
equipment_name,17,長老のはちまき,장로의 머리띠,13,E9 C7 E9 49 E9 BD 9C E9 57 E9 4F EA 2F,0x804E8,0x802EA,project_translation+local_guide_reference
equipment_name,18,しつ<N:ぷ:23>うのバンダナ,질풍의 반다나,13,E9 DC EA 03 E9 BD 9C E9 6B E9 2D E9 20,0x804EC,0x802F8,project_translation+local_guide_reference
equipment_name,19,<N:ハ:12><N:｣:11>パーフーツ,하이퍼 부츠,11,EA 07 E9 BE E9 FB 9C E9 7B EA 74,0x804F0,0x80306,project_translation+local_guide_reference
equipment_name,20,まにあわせのくつ,임시 신발,9,E9 C1 E9 93 9C E9 95 E9 6D,0x804F4,0x80312,project_translation+local_guide_reference
equipment_name,21,フ<N:リ:12>ス<N:リ:12>ット,팔찌 1,6,E9 FA E9 DE 9C 12,0x804F8,0x8031C,project_translation+local_guide_reference
equipment_name,22,フ<N:リ:12>ス<N:リ:12>ット,팔찌 2,6,E9 FA E9 DE 9C 13,0x804FC,0x80323,project_translation+local_guide_reference
equipment_name,23,技のフ<N:リ:12>ス<N:リ:12>ット,기술의 팔찌,11,E9 1B EA 54 E9 BD 9C E9 FA E9 DE,0x80500,0x8032A,project_translation+local_guide_reference
equipment_name,24,女神のいのり,여신의 기도,11,E9 A5 E9 95 E9 BD 9C E9 1B E9 36,0x80504,0x80336,project_translation+local_guide_reference
equipment_name,25,パワーリスト,파워 리스트,11,E9 F8 E9 B4 9C E9 4F E9 90 E9 F6,0x80508,0x80342,project_translation+local_guide_reference
equipment_name,26,デ<N:ｲ:6>ールの<N:牙:4>,데일의 이빨,11,E9 34 E9 C0 E9 BD 9C E9 BE E9 82,0x8050C,0x8034E,project_translation+local_guide_reference
equipment_name,27,幻獣の<N:牙:4>,환수의 이빨,11,EA 90 E9 8D E9 BD 9C E9 BE E9 82,0x80510,0x8035A,project_translation+local_guide_reference
equipment_name,28,しおかぜの調ベ,바닷바람의 선율,15,E9 6A EA 28 E9 6A E9 40 E9 BD 9C E9 89 E9 B8,0x80514,0x80366,project_translation+local_guide_reference
equipment_name,29,<N:貝:2>がら,조개껍데기,10,E9 D0 EA 1A EA 21 E9 34 E9 1B,0x80518,0x80376,project_translation+local_guide_reference
equipment_name,30,一角獣の角,유니콘의 뿔,11,E9 B7 E9 2C EA 79 E9 BD 9C EA 49,0x8051C,0x80381,project_translation+local_guide_reference
equipment_name,31,<N:悲:5>劇のめがね,비극의 안경,11,E9 80 EA 20 E9 BD 9C E9 9C E9 0D,0x80520,0x8038D,project_translation+local_guide_reference
equipment_name,32,鏡,거울,4,E9 07 E9 B3,0x80524,0x80399,project_translation+local_guide_reference
equipment_name,33,古代の<N:ｴ:24>びわ,고대의 반지,11,E9 0F E9 31 E9 BD 9C E9 6B E9 D9,0x80528,0x8039E,project_translation+local_guide_reference
equipment_name,34,幻の<N:ｴ:24>びわ,환상의 반지,11,EA 90 E9 85 E9 BD 9C E9 6B E9 D9,0x8052C,0x803AA,project_translation+local_guide_reference
equipment_name,35,魔導の<N:ｴ:24>びわ,마도의 반지,11,E9 52 E9 36 E9 BD 9C E9 6B E9 D9,0x80530,0x803B6,project_translation+local_guide_reference
equipment_name,36,おもちゃの<N:ｴ:24>びわ,장난감 반지,11,E9 C7 E9 21 E9 04 9C E9 6B E9 D9,0x80534,0x803C2,project_translation+local_guide_reference
equipment_name,37,<N:毒:1>よけの<N:ｴ:24>びわ,독막이 반지,11,EA 2A E9 53 E9 BE 9C E9 6B E9 D9,0x80538,0x803CE,project_translation+local_guide_reference
equipment_name,38,幻の盾,환상의 방패,11,EA 90 E9 85 E9 BD 9C E9 6E EA 88,0x8053C,0x803DA,project_translation+local_guide_reference
equipment_name,39,戦士の守り,전사의 수호,11,E9 CA E9 83 E9 BD 9C E9 8D EA 8F,0x80540,0x803E6,project_translation+local_guide_reference
equipment_name,40,長老の盾,장로의 방패,11,E9 C7 E9 49 E9 BD 9C E9 6E EA 88,0x80544,0x803F2,project_translation+local_guide_reference
