char,code_hex,physical_index,row,column,plane,source_x,source_y
가,E1 01,1240,14,16,0,192,168
각,E1 02,1241,14,16,1,192,168
간,E1 03,1242,14,16,2,192,168
감,E1 04,1243,14,16,3,192,168
갑,E1 05,1244,14,17,0,204,168
강,E1 06,1245,14,17,1,204,168
거,E1 07,1246,14,17,2,204,168
건,E1 08,1247,14,17,3,204,168
걸,E1 09,1248,14,18,0,216,168
검,E1 0A,1249,14,18,1,216,168
게,E1 0B,1250,14,18,2,216,168
격,E1 0C,1251,14,18,3,216,168
경,E1 0D,1252,14,19,0,228,168
계,E1 0E,1253,14,19,1,228,168
고,E1 0F,1254,14,19,2,228,168
곳,E1 10,1255,14,19,3,228,168
공,E1 11,1256,14,20,0,240,168
과,E1 12,1257,14,20,1,240,168
관,E1 13,1258,14,20,2,240,168
광,E1 14,1259,14,20,3,240,168
괴,E1 15,1260,15,0,0,0,180
구,E1 16,1261,15,0,1,0,180
군,E1 17,1262,15,0,2,0,180
굴,E1 18,1263,15,0,3,0,180
그,E1 19,1264,15,1,0,12,180
글,E1 1A,1265,15,1,1,12,180
기,E1 1B,1266,15,1,2,12,180
길,E1 1C,1267,15,1,3,12,180
깨,E1 1D,1268,15,2,0,24,180
꼭,E1 1E,1269,15,2,1,24,180
꽃,E1 1F,1270,15,2,2,24,180
나,E1 20,1271,15,2,3,24,180
난,E1 21,1272,15,3,0,36,180
날,E1 22,1273,15,3,1,36,180
내,E1 23,1274,15,3,2,36,180
너,E1 24,1275,15,3,3,36,180
넘,E1 25,1276,15,4,0,48,180
노,E1 26,1277,15,4,1,48,180
누,E1 27,1278,15,4,2,48,180
눈,E1 28,1279,15,4,3,48,180
느,E1 29,1280,15,5,0,60,180
는,E1 2A,1281,15,5,1,60,180
늘,E1 2B,1282,15,5,2,60,180
니,E1 2C,1283,15,5,3,60,180
다,E1 2D,1284,15,6,0,72,180
단,E1 2E,1285,15,6,1,72,180
달,E1 2F,1286,15,6,2,72,180
당,E1 30,1287,15,6,3,72,180
대,E1 31,1288,15,7,0,84,180
더,E1 32,1289,15,7,1,84,180
던,E1 33,1290,15,7,2,84,180
데,E1 34,1291,15,7,3,84,180
델,E1 35,1292,15,8,0,96,180
도,E1 36,1293,15,8,1,96,180
돌,E1 37,1294,15,8,2,96,180
동,E1 38,1295,15,8,3,96,180
되,E1 39,1296,15,9,0,108,180
두,E1 3A,1297,15,9,1,108,180
드,E1 3B,1298,15,9,2,108,180
든,E1 3C,1299,15,9,3,108,180
들,E1 3D,1300,15,10,0,120,180
디,E1 3E,1301,15,10,1,120,180
라,E1 3F,1302,15,10,2,120,180
람,E1 40,1303,15,10,3,120,180
래,E1 41,1304,15,11,0,132,180
러,E1 42,1305,15,11,1,132,180
런,E1 43,1306,15,11,2,132,180
레,E1 44,1307,15,11,3,132,180
렌,E1 45,1308,15,12,0,144,180
려,E1 46,1309,15,12,1,144,180
력,E1 47,1310,15,12,2,144,180
령,E1 48,1311,15,12,3,144,180
로,E1 49,1312,15,13,0,156,180
루,E1 4A,1313,15,13,1,156,180
류,E1 4B,1314,15,13,2,156,180
르,E1 4C,1315,15,13,3,156,180
를,E1 4D,1316,15,14,0,168,180
름,E1 4E,1317,15,14,1,168,180
리,E1 4F,1318,15,14,2,168,180
린,E1 50,1319,15,14,3,168,180
림,E1 51,1320,15,15,0,180,180
마,E1 52,1321,15,15,1,180,180
막,E1 53,1322,15,15,2,180,180
만,E1 54,1323,15,15,3,180,180
망,E1 55,1324,15,16,0,192,180
매,E1 56,1325,15,16,1,192,180
머,E1 57,1326,15,16,2,192,180
먹,E1 58,1327,15,16,3,192,180
먼,E1 59,1328,15,17,0,204,180
메,E1 5A,1329,15,17,1,204,180
며,E1 5B,1330,15,17,2,204,180
면,E1 5C,1331,15,17,3,204,180
멸,E1 5D,1332,15,18,0,216,180
명,E1 5E,1333,15,18,1,216,180
모,E1 5F,1334,15,18,2,216,180
목,E1 60,1335,15,18,3,216,180
몬,E1 61,1336,15,19,0,228,180
몸,E1 62,1337,15,19,1,228,180
못,E1 63,1338,15,19,2,228,180
무,E1 64,1339,15,19,3,228,180
문,E1 65,1340,15,20,0,240,180
물,E1 66,1341,15,20,1,240,180
미,E1 67,1342,15,20,2,240,180
민,E1 68,1343,15,20,3,240,180
밀,E1 69,1344,16,0,0,0,192
바,E1 6A,1345,16,0,1,0,192
반,E1 6B,1346,16,0,2,0,192
받,E1 6C,1347,16,0,3,0,192
발,E1 6D,1348,16,1,0,12,192
방,E1 6E,1349,16,1,1,12,192
배,E1 6F,1350,16,1,2,12,192
뱀,E1 70,1351,16,1,3,12,192
번,E1 71,1352,16,2,0,24,192
범,E1 72,1353,16,2,1,24,192
법,E1 73,1354,16,2,2,24,192
변,E1 74,1355,16,2,3,24,192
별,E1 75,1356,16,3,0,36,192
병,E1 76,1357,16,3,1,36,192
보,E1 77,1358,16,3,2,36,192
복,E1 78,1359,16,3,3,36,192
본,E1 79,1360,16,4,0,48,192
봉,E1 7A,1361,16,4,1,48,192
부,E1 7B,1362,16,4,2,48,192
북,E1 7C,1363,16,4,3,48,192
분,E1 7D,1364,16,5,0,60,192
불,E1 7E,1365,16,5,1,60,192
브,E1 7F,1366,16,5,2,60,192
비,E1 80,1367,16,5,3,60,192
빌,E1 81,1368,16,6,0,72,192
빨,E1 82,1369,16,6,1,72,192
사,E1 83,1370,16,6,2,72,192
산,E1 84,1371,16,6,3,72,192
상,E1 85,1372,16,7,0,84,192
새,E1 86,1373,16,7,1,84,192
생,E1 87,1374,16,7,2,84,192
서,E1 88,1375,16,7,3,84,192
선,E1 89,1376,16,8,0,96,192
성,E1 8A,1377,16,8,1,96,192
센,E1 8B,1378,16,8,2,96,192
소,E1 8C,1379,16,8,3,96,192
수,E1 8D,1380,16,9,0,108,192
숲,E1 8E,1381,16,9,1,108,192
슈,E1 8F,1382,16,9,2,108,192
스,E1 90,1383,16,9,3,108,192
슬,E1 91,1384,16,10,0,120,192
승,E1 92,1385,16,10,1,120,192
시,E1 93,1386,16,10,2,120,192
식,E1 94,1387,16,10,3,120,192
신,E1 95,1388,16,11,0,132,192
실,E1 96,1389,16,11,1,132,192
심,E1 97,1390,16,11,2,132,192
쓰,E1 98,1391,16,11,3,132,192
쓴,E1 99,1392,16,12,0,144,192
아,E1 9A,1393,16,12,1,144,192
악,E1 9B,1394,16,12,2,144,192
안,E1 9C,1395,16,12,3,144,192
애,E1 9D,1396,16,13,0,156,192
야,E1 9E,1397,16,13,1,156,192
약,E1 9F,1398,16,13,2,156,192
양,E1 A0,1399,16,13,3,156,192
어,E1 A1,1400,16,14,0,168,192
언,E1 A2,1401,16,14,1,168,192
없,E1 A3,1402,16,14,2,168,192
에,E1 A4,1403,16,14,3,168,192
여,E1 A5,1404,16,15,0,180,192
연,E1 A6,1405,16,15,1,180,192
열,E1 A7,1406,16,15,2,180,192
오,E1 A8,1407,16,15,3,180,192
옥,E1 A9,1408,16,16,0,192,192
올,E1 AA,1409,16,16,1,192,192
옷,E1 AB,1410,16,16,2,192,192
와,E1 AC,1411,16,16,3,192,192
왕,E1 AD,1412,16,17,0,204,192
외,E1 AE,1413,16,17,1,204,192
요,E1 AF,1414,16,17,2,204,192
용,E1 B0,1415,16,17,3,204,192
우,E1 B1,1416,16,18,0,216,192
운,E1 B2,1417,16,18,1,216,192
울,E1 B3,1418,16,18,2,216,192
워,E1 B4,1419,16,18,3,216,192
원,E1 B5,1420,16,19,0,228,192
위,E1 B6,1421,16,19,1,228,192
유,E1 B7,1422,16,19,2,228,192
율,E1 B8,1423,16,19,3,228,192
으,E1 B9,1424,16,20,0,240,192
은,E1 BA,1425,16,20,1,240,192
을,E1 BB,1426,16,20,2,240,192
음,E1 BC,1427,16,20,3,240,192
의,E1 F1,1480,17,13,0,156,204
이,E1 F2,1481,17,13,1,156,204
인,E1 F3,1482,17,13,2,156,204
일,E1 F4,1483,17,13,3,156,204
임,E1 F5,1484,17,14,0,168,204
입,E1 F6,1485,17,14,1,168,204
자,E1 F7,1486,17,14,2,168,204
작,E1 F8,1487,17,14,3,168,204
잠,E1 F9,1488,17,15,0,180,204
잡,E1 FA,1489,17,15,1,180,204
장,E1 FB,1490,17,15,2,180,204
저,E1 FC,1491,17,15,3,180,204
적,E1 FD,1492,17,16,0,192,204
