char,virtual_code_hex,physical_index,row,column,plane,source_x,source_y
가,E9 01,1240,14,16,0,192,168
각,E9 02,1241,14,16,1,192,168
간,E9 03,1242,14,16,2,192,168
감,E9 04,1243,14,16,3,192,168
갑,E9 05,1244,14,17,0,204,168
강,E9 06,1245,14,17,1,204,168
거,E9 07,1246,14,17,2,204,168
건,E9 08,1247,14,17,3,204,168
걸,E9 09,1248,14,18,0,216,168
검,E9 0A,1249,14,18,1,216,168
게,E9 0B,1250,14,18,2,216,168
격,E9 0C,1251,14,18,3,216,168
경,E9 0D,1252,14,19,0,228,168
계,E9 0E,1253,14,19,1,228,168
고,E9 0F,1254,14,19,2,228,168
곳,E9 10,1255,14,19,3,228,168
공,E9 11,1256,14,20,0,240,168
과,E9 12,1257,14,20,1,240,168
관,E9 13,1258,14,20,2,240,168
광,E9 14,1259,14,20,3,240,168
괴,E9 15,1260,15,0,0,0,180
구,E9 16,1261,15,0,1,0,180
군,E9 17,1262,15,0,2,0,180
굴,E9 18,1263,15,0,3,0,180
그,E9 19,1264,15,1,0,12,180
글,E9 1A,1265,15,1,1,12,180
기,E9 1B,1266,15,1,2,12,180
길,E9 1C,1267,15,1,3,12,180
깨,E9 1D,1268,15,2,0,24,180
꼭,E9 1E,1269,15,2,1,24,180
꽃,E9 1F,1270,15,2,2,24,180
나,E9 20,1271,15,2,3,24,180
난,E9 21,1272,15,3,0,36,180
날,E9 22,1273,15,3,1,36,180
내,E9 23,1274,15,3,2,36,180
너,E9 24,1275,15,3,3,36,180
넘,E9 25,1276,15,4,0,48,180
노,E9 26,1277,15,4,1,48,180
누,E9 27,1278,15,4,2,48,180
눈,E9 28,1279,15,4,3,48,180
느,E9 29,1280,15,5,0,60,180
는,E9 2A,1281,15,5,1,60,180
늘,E9 2B,1282,15,5,2,60,180
니,E9 2C,1283,15,5,3,60,180
다,E9 2D,1284,15,6,0,72,180
단,E9 2E,1285,15,6,1,72,180
달,E9 2F,1286,15,6,2,72,180
당,E9 30,1287,15,6,3,72,180
대,E9 31,1288,15,7,0,84,180
더,E9 32,1289,15,7,1,84,180
던,E9 33,1290,15,7,2,84,180
데,E9 34,1291,15,7,3,84,180
델,E9 35,1292,15,8,0,96,180
도,E9 36,1293,15,8,1,96,180
돌,E9 37,1294,15,8,2,96,180
동,E9 38,1295,15,8,3,96,180
되,E9 39,1296,15,9,0,108,180
두,E9 3A,1297,15,9,1,108,180
드,E9 3B,1298,15,9,2,108,180
든,E9 3C,1299,15,9,3,108,180
들,E9 3D,1300,15,10,0,120,180
디,E9 3E,1301,15,10,1,120,180
라,E9 3F,1302,15,10,2,120,180
람,E9 40,1303,15,10,3,120,180
래,E9 41,1304,15,11,0,132,180
러,E9 42,1305,15,11,1,132,180
런,E9 43,1306,15,11,2,132,180
레,E9 44,1307,15,11,3,132,180
렌,E9 45,1308,15,12,0,144,180
려,E9 46,1309,15,12,1,144,180
력,E9 47,1310,15,12,2,144,180
령,E9 48,1311,15,12,3,144,180
로,E9 49,1312,15,13,0,156,180
루,E9 4A,1313,15,13,1,156,180
류,E9 4B,1314,15,13,2,156,180
르,E9 4C,1315,15,13,3,156,180
를,E9 4D,1316,15,14,0,168,180
름,E9 4E,1317,15,14,1,168,180
리,E9 4F,1318,15,14,2,168,180
린,E9 50,1319,15,14,3,168,180
림,E9 51,1320,15,15,0,180,180
마,E9 52,1321,15,15,1,180,180
막,E9 53,1322,15,15,2,180,180
만,E9 54,1323,15,15,3,180,180
망,E9 55,1324,15,16,0,192,180
매,E9 56,1325,15,16,1,192,180
머,E9 57,1326,15,16,2,192,180
먹,E9 58,1327,15,16,3,192,180
먼,E9 59,1328,15,17,0,204,180
메,E9 5A,1329,15,17,1,204,180
며,E9 5B,1330,15,17,2,204,180
면,E9 5C,1331,15,17,3,204,180
멸,E9 5D,1332,15,18,0,216,180
명,E9 5E,1333,15,18,1,216,180
모,E9 5F,1334,15,18,2,216,180
목,E9 60,1335,15,18,3,216,180
몬,E9 61,1336,15,19,0,228,180
몸,E9 62,1337,15,19,1,228,180
못,E9 63,1338,15,19,2,228,180
무,E9 64,1339,15,19,3,228,180
문,E9 65,1340,15,20,0,240,180
물,E9 66,1341,15,20,1,240,180
미,E9 67,1342,15,20,2,240,180
민,E9 68,1343,15,20,3,240,180
밀,E9 69,1344,16,0,0,0,192
바,E9 6A,1345,16,0,1,0,192
반,E9 6B,1346,16,0,2,0,192
받,E9 6C,1347,16,0,3,0,192
발,E9 6D,1348,16,1,0,12,192
방,E9 6E,1349,16,1,1,12,192
배,E9 6F,1350,16,1,2,12,192
뱀,E9 70,1351,16,1,3,12,192
번,E9 71,1352,16,2,0,24,192
범,E9 72,1353,16,2,1,24,192
법,E9 73,1354,16,2,2,24,192
변,E9 74,1355,16,2,3,24,192
별,E9 75,1356,16,3,0,36,192
병,E9 76,1357,16,3,1,36,192
보,E9 77,1358,16,3,2,36,192
복,E9 78,1359,16,3,3,36,192
본,E9 79,1360,16,4,0,48,192
봉,E9 7A,1361,16,4,1,48,192
부,E9 7B,1362,16,4,2,48,192
북,E9 7C,1363,16,4,3,48,192
분,E9 7D,1364,16,5,0,60,192
불,E9 7E,1365,16,5,1,60,192
브,E9 7F,1366,16,5,2,60,192
비,E9 80,1367,16,5,3,60,192
빌,E9 81,1368,16,6,0,72,192
빨,E9 82,1369,16,6,1,72,192
사,E9 83,1370,16,6,2,72,192
산,E9 84,1371,16,6,3,72,192
상,E9 85,1372,16,7,0,84,192
새,E9 86,1373,16,7,1,84,192
생,E9 87,1374,16,7,2,84,192
서,E9 88,1375,16,7,3,84,192
선,E9 89,1376,16,8,0,96,192
성,E9 8A,1377,16,8,1,96,192
센,E9 8B,1378,16,8,2,96,192
소,E9 8C,1379,16,8,3,96,192
수,E9 8D,1380,16,9,0,108,192
숲,E9 8E,1381,16,9,1,108,192
슈,E9 8F,1382,16,9,2,108,192
스,E9 90,1383,16,9,3,108,192
슬,E9 91,1384,16,10,0,120,192
승,E9 92,1385,16,10,1,120,192
시,E9 93,1386,16,10,2,120,192
식,E9 94,1387,16,10,3,120,192
신,E9 95,1388,16,11,0,132,192
실,E9 96,1389,16,11,1,132,192
심,E9 97,1390,16,11,2,132,192
쓰,E9 98,1391,16,11,3,132,192
쓴,E9 99,1392,16,12,0,144,192
아,E9 9A,1393,16,12,1,144,192
악,E9 9B,1394,16,12,2,144,192
안,E9 9C,1395,16,12,3,144,192
애,E9 9D,1396,16,13,0,156,192
야,E9 9E,1397,16,13,1,156,192
약,E9 9F,1398,16,13,2,156,192
양,E9 A0,1399,16,13,3,156,192
어,E9 A1,1400,16,14,0,168,192
언,E9 A2,1401,16,14,1,168,192
없,E9 A3,1402,16,14,2,168,192
에,E9 A4,1403,16,14,3,168,192
