char,virtual_code_hex,physical_code_hex,physical_index,row,column,plane,source_x,source_y,provenance
가,E9 01,E1 01,140,1,14,0,168,12,v71_preserved_runtime_mapping
각,E9 02,E1 02,1051,12,10,3,120,144,v71_preserved_runtime_mapping
간,E9 03,E1 03,1231,14,13,3,156,168,v71_preserved_runtime_mapping
감,E9 04,E1 04,985,11,15,1,180,132,v71_preserved_runtime_mapping
갑,E9 05,E1 05,1228,14,13,0,156,168,v71_preserved_runtime_mapping
강,E9 06,E1 06,1226,14,12,2,144,168,v71_preserved_runtime_mapping
거,E9 07,E1 07,172,2,1,0,12,24,v71_preserved_runtime_mapping
건,E9 08,E1 08,1049,12,10,1,120,144,v71_preserved_runtime_mapping
걸,E9 09,E1 09,1248,14,18,0,216,168,v41_preserved
검,E9 0A,E1 0A,1249,14,18,1,216,168,v41_preserved
게,E9 0B,E1 0B,1250,14,18,2,216,168,v41_preserved
격,E9 0C,E1 0C,1251,14,18,3,216,168,v41_preserved
경,E9 0D,E1 0D,1252,14,19,0,228,168,v41_preserved
계,E9 0E,E1 0E,1253,14,19,1,228,168,v41_preserved
고,E9 0F,E1 0F,1254,14,19,2,228,168,v41_preserved
곳,E9 10,E1 10,1255,14,19,3,228,168,v41_preserved
공,E9 11,E1 11,1256,14,20,0,240,168,v41_preserved
과,E9 12,E1 12,1257,14,20,1,240,168,v41_preserved
관,E9 13,E1 13,1258,14,20,2,240,168,v41_preserved
광,E9 14,E1 14,1259,14,20,3,240,168,v41_preserved
괴,E9 15,E1 15,1260,15,0,0,0,180,v41_preserved
구,E9 16,E1 16,1261,15,0,1,0,180,v41_preserved
군,E9 17,E1 17,1262,15,0,2,0,180,v41_preserved
굴,E9 18,E1 18,1263,15,0,3,0,180,v41_preserved
그,E9 19,E1 19,1264,15,1,0,12,180,v41_preserved
글,E9 1A,E1 1A,1265,15,1,1,12,180,v41_preserved
기,E9 1B,E1 1B,1266,15,1,2,12,180,v41_preserved
길,E9 1C,E1 1C,1267,15,1,3,12,180,v41_preserved
깨,E9 1D,E1 1D,1268,15,2,0,24,180,v41_preserved
꼭,E9 1E,E1 1E,1269,15,2,1,24,180,v41_preserved
꽃,E9 1F,E1 1F,1270,15,2,2,24,180,v41_preserved
나,E9 20,E1 20,1271,15,2,3,24,180,v41_preserved
난,E9 21,E1 21,1272,15,3,0,36,180,v41_preserved
날,E9 22,E1 22,1273,15,3,1,36,180,v41_preserved
내,E9 23,E1 23,1274,15,3,2,36,180,v41_preserved
너,E9 24,E1 24,1275,15,3,3,36,180,v41_preserved
넘,E9 25,E1 25,1276,15,4,0,48,180,v41_preserved
노,E9 26,E1 26,1277,15,4,1,48,180,v41_preserved
누,E9 27,E1 27,1278,15,4,2,48,180,v41_preserved
눈,E9 28,E1 28,1279,15,4,3,48,180,v41_preserved
느,E9 29,E1 29,1280,15,5,0,60,180,v41_preserved
는,E9 2A,E1 2A,1281,15,5,1,60,180,v41_preserved
늘,E9 2B,E1 2B,944,11,5,0,60,132,v71_preserved_runtime_mapping
니,E9 2C,E1 2C,1283,15,5,3,60,180,v41_preserved
다,E9 2D,E1 2D,1284,15,6,0,72,180,v41_preserved
단,E9 2E,E1 2E,1285,15,6,1,72,180,v41_preserved
달,E9 2F,E1 2F,943,11,4,3,48,132,v71_preserved_runtime_mapping
당,E9 30,E1 30,1287,15,6,3,72,180,v41_preserved
대,E9 31,E1 31,1288,15,7,0,84,180,v41_preserved
더,E9 32,E1 32,1289,15,7,1,84,180,v41_preserved
던,E9 33,E1 33,1290,15,7,2,84,180,v41_preserved
데,E9 34,E1 34,1291,15,7,3,84,180,v41_preserved
델,E9 35,E1 35,1292,15,8,0,96,180,v41_preserved
도,E9 36,E1 36,1293,15,8,1,96,180,v41_preserved
돌,E9 37,E1 37,1294,15,8,2,96,180,v41_preserved
동,E9 38,E1 38,1295,15,8,3,96,180,v41_preserved
되,E9 39,E1 39,1296,15,9,0,108,180,v41_preserved
두,E9 3A,E1 3A,1297,15,9,1,108,180,v41_preserved
드,E9 3B,E1 3B,1298,15,9,2,108,180,v41_preserved
든,E9 3C,E1 3C,1299,15,9,3,108,180,v41_preserved
들,E9 3D,E1 3D,1043,12,8,3,96,144,v71_preserved_runtime_mapping
디,E9 3E,E1 3E,1301,15,10,1,120,180,v41_preserved
라,E9 3F,E1 3F,1302,15,10,2,120,180,v41_preserved
람,E9 40,E1 40,1303,15,10,3,120,180,v41_preserved
래,E9 41,E1 41,1304,15,11,0,132,180,v41_preserved
러,E9 42,E1 42,1305,15,11,1,132,180,v41_preserved
런,E9 43,E1 43,1306,15,11,2,132,180,v41_preserved
레,E9 44,E1 44,1307,15,11,3,132,180,v41_preserved
렌,E9 45,E1 45,1308,15,12,0,144,180,v41_preserved
려,E9 46,E1 46,1309,15,12,1,144,180,v41_preserved
력,E9 47,E1 47,1310,15,12,2,144,180,v41_preserved
령,E9 48,E1 48,1222,14,11,2,132,168,v71_preserved_runtime_mapping
로,E9 49,E1 49,1312,15,13,0,156,180,v41_preserved
루,E9 4A,E1 4A,1052,12,11,0,132,144,v71_preserved_runtime_mapping
류,E9 4B,E1 4B,1314,15,13,2,156,180,v41_preserved
르,E9 4C,E1 4C,1315,15,13,3,156,180,v41_preserved
를,E9 4D,E1 4D,1316,15,14,0,168,180,v41_preserved
름,E9 4E,E1 4E,1317,15,14,1,168,180,v41_preserved
리,E9 4F,E1 4F,1318,15,14,2,168,180,v41_preserved
린,E9 50,E1 50,1319,15,14,3,168,180,v41_preserved
림,E9 51,E1 51,1320,15,15,0,180,180,v41_preserved
마,E9 52,E1 52,1321,15,15,1,180,180,v41_preserved
막,E9 53,E1 53,1322,15,15,2,180,180,v41_preserved
만,E9 54,E1 54,1323,15,15,3,180,180,v41_preserved
망,E9 55,E1 55,1324,15,16,0,192,180,v41_preserved
매,E9 56,E1 56,1325,15,16,1,192,180,v41_preserved
머,E9 57,E1 57,1326,15,16,2,192,180,v41_preserved
먹,E9 58,E1 58,1327,15,16,3,192,180,v41_preserved
먼,E9 59,E1 59,1328,15,17,0,204,180,v41_preserved
메,E9 5A,E1 5A,1329,15,17,1,204,180,v41_preserved
며,E9 5B,E1 5B,1330,15,17,2,204,180,v41_preserved
