category,index,japanese,korean_display,application_status,missing_glyphs,special_check,encoded_bytes,encoded_hex,pointer_offset,string_offset
equipment_name,0,炎の守り,불꽃 방어,guide_safe_override,,none,9,E0 0A DF 99 9C E0 0F E0 A0,0x804A4,0x80224
equipment_name,1,氷の守り,차가운 바람 방어,guide_safe_override,,none,16,E0 96 E0 C0 DF FA 9C DF 6E E0 BA 9C E0 0F E0 A0,0x804A8,0x8022E
equipment_name,2,アンチへモジー,헤모지 방지,guide_safe_override,,none,11,DF 9D E0 11 E0 A2 9C E0 0F E0 A2,0x804AC,0x8023F
equipment_name,3,いやしのお守り,치유의 부적,translated_existing_bank,,none,11,E0 B0 E0 AD E0 9B 9C E0 0B DF F2,0x804B0,0x8024B
equipment_name,4,きぬのおび,비단 허리 장식,guide_safe_override,,none,14,E0 53 E0 37 9C E0 F6 E0 98 9C E0 E1 DF B5,0x804B4,0x80257
equipment_name,5,魔法のカート,마법 카드,translated_existing_bank,,none,9,E0 9E E0 B3 9C DF E9 DF 41,0x804B8,0x80266
equipment_name,6,スリー<N:フ:11><N:リ:12>スカート,수면 방지 카드,translated_existing_bank,,none,14,DF B7 E0 4C 9C E0 0F E0 A2 9C DF E9 DF 41,0x804BC,0x80270
equipment_name,7,パワーアーム,강화 팔,guide_safe_override,,none,7,E0 F2 DE FE 9C DF 8B,0x804C0,0x8027F
equipment_name,8,カ<N:｣:11><N:ザ:8>ー<N:ク:12>ローフ,카이저 글러브,translated_existing_bank,,none,13,DF E9 E0 BD E0 CB 9C DE F2 E0 25 DE E1,0x804C4,0x80287
equipment_name,9,幻のこて,신기한 장갑,guide_safe_override,,none,11,E0 C3 E0 AC E0 84 9C E0 E1 E0 F4,0x804C8,0x80295
equipment_name,10,サン<N:ク:12>ラス,선글라스,translated_existing_bank,,none,8,E0 58 DE F2 E0 A6 E0 39,0x804CC,0x802A1
equipment_name,11,当て方の絵巻,명중의 두루마리,translated_existing_bank,,none,15,E0 4E DF A9 E0 9B 9C E0 F8 E0 44 E0 9E E0 98,0x804D0,0x802AA
equipment_name,12,ぶん投げの絵巻,던지기 두루마리,guide_safe_override,,none,15,DF 69 E0 A2 E0 AC 9C E0 F8 E0 44 E0 9E E0 98,0x804D4,0x802BA
equipment_name,13,神のこぶし,신의 주먹,translated_existing_bank,,none,9,E0 C3 E0 9B 9C E0 CF DF CF,0x804D8,0x802CA
equipment_name,14,バ<N:｣:11>オ<N:リ:12>ット<N:リ:12>ーサー,보라 레이저,guide_safe_override,,none,11,E0 93 E0 A6 9C DF D2 E0 BD E0 CB,0x804DC,0x802D4
equipment_name,15,<N:ネ:13>ック<N:リ:12>ス,목걸이,translated_existing_bank,,none,6,DF 63 E0 B4 E0 BD,0x804E0,0x802E0
equipment_name,16,じ<N:ぃ:20>す,기도 구슬,guide_safe_override,,none,9,E0 AC E0 A7 9C E0 24 DF B6,0x804E4,0x802E7
equipment_name,17,長老のはちまき,장로 허리 장식,guide_safe_override,,none,14,E0 E1 E0 D6 9C E0 F6 E0 98 9C E0 E1 DF B5,0x804E8,0x802F1
equipment_name,18,しつ<N:ぷ:23>うのバンダナ,질풍의 반다나,translated_existing_bank,,none,13,DF A7 DE C9 E0 9B 9C E0 8A E0 C1 E0 99,0x804EC,0x80300
equipment_name,19,<N:ハ:12><N:｣:11>パーフーツ,하이퍼 신발,guide_safe_override,,none,11,E0 C4 E0 BD DF 04 9C E0 C3 E0 FA,0x804F0,0x8030E
equipment_name,20,まにあわせのくつ,임시 신발,translated_existing_bank,,none,9,DF F6 E0 61 9C E0 C3 E0 FA,0x804F4,0x8031A
equipment_name,21,フ<N:リ:12>ス<N:リ:12>ット,팔찌 1,translated_existing_bank,,none,6,DF 8B DF 0D 9C 12,0x804F8,0x80324
equipment_name,22,フ<N:リ:12>ス<N:リ:12>ット,팔찌 2,translated_existing_bank,,none,6,DF 8B DF 0D 9C 13,0x804FC,0x8032B
equipment_name,23,技のフ<N:リ:12>ス<N:リ:12>ット,마력 팔찌,guide_safe_override,,none,9,E0 9E E0 8C 9C DF 8B DF 0D,0x80500,0x80332
equipment_name,24,女神のいのり,여신의 기도,translated_existing_bank,,none,11,E0 DC E0 C3 E0 9B 9C E0 AC E0 A7,0x80504,0x8033C
equipment_name,25,パワーリスト,파워 리스트,translated_existing_bank,,none,11,DF A0 DF AE 9C E0 98 E0 39 E0 82,0x80508,0x80348
equipment_name,26,デ<N:ｲ:6>ールの<N:牙:4>,데일의 이빨,translated_existing_bank,,none,11,E0 31 E0 6B E0 9B 9C E0 BD DF 2F,0x8050C,0x80354
equipment_name,27,幻獣の<N:牙:4>,마수의 이빨,guide_safe_override,,none,11,E0 9E DF B7 E0 9B 9C E0 BD DF 2F,0x80510,0x80360
equipment_name,28,しおかぜの調ベ,바다 바람의 노래,guide_safe_override,,none,16,DF 6E E0 C1 9C DF 6E E0 BA E0 9B 9C E0 3C E0 BB,0x80514,0x8036C
equipment_name,29,<N:貝:2>がら,조가비,guide_safe_override,,none,6,E0 A4 E0 C0 E0 53,0x80518,0x8037D
equipment_name,30,一角獣の角,일각수 장식,guide_safe_override,,none,11,E0 6B E0 43 DF B7 9C E0 E1 DF B5,0x8051C,0x80384
equipment_name,31,<N:悲:5>劇のめがね,비애의 안경,guide_safe_override,,none,11,E0 53 DF FE E0 9B 9C E0 E9 E0 89,0x80520,0x80390
equipment_name,32,鏡,거울,translated_existing_bank,,none,4,DF 87 DF F9,0x80524,0x8039C
equipment_name,33,古代の<N:ｴ:24>びわ,고대의 반지,translated_existing_bank,,none,11,E0 7F E0 36 E0 9B 9C E0 8A E0 A2,0x80528,0x803A1
equipment_name,34,幻の<N:ｴ:24>びわ,신기한 반지,guide_safe_override,,none,11,E0 C3 E0 AC E0 84 9C E0 8A E0 A2,0x8052C,0x803AD
equipment_name,35,魔導の<N:ｴ:24>びわ,마도의 반지,translated_existing_bank,,none,11,E0 9E E0 A7 E0 9B 9C E0 8A E0 A2,0x80530,0x803B9
equipment_name,36,おもちゃの<N:ｴ:24>びわ,장난감 반지,translated_existing_bank,,none,11,E0 E1 E0 3D E0 01 9C E0 8A E0 A2,0x80534,0x803C5
equipment_name,37,<N:毒:1>よけの<N:ｴ:24>びわ,몸 이상 방지 반지,guide_safe_override,,none,17,DF 36 9C E0 BD E0 56 9C E0 0F E0 A2 9C E0 8A E0 A2,0x80538,0x803D1
equipment_name,38,幻の盾,신기한 막이,guide_safe_override,,none,11,E0 C3 E0 AC E0 84 9C DF 39 E0 BD,0x8053C,0x803E3
equipment_name,39,戦士の守り,전사 방어,guide_safe_override,,none,9,E0 CC E0 A5 9C E0 0F E0 A0,0x80540,0x803EF
equipment_name,40,長老の盾,장로 막이,guide_safe_override,,none,9,E0 E1 E0 D6 9C DF 39 E0 BD,0x80544,0x803F9
equipment_name,41,強力な<N:杖:1>,강한 마법봉,guide_safe_override,,none,11,E0 F2 E0 84 9C E0 9E E0 B3 DF 93,0x80548,0x80403
equipment_name,42,じごくのスニー<N:フ:11>,지옥의 스누프,translated_existing_bank,,none,13,E0 A2 DF 19 E0 9B 9C E0 39 E0 34 DF 9F,0x8054C,0x8040F
equipment_name,43,王様の像,왕의 상,translated_existing_bank,,none,7,E0 65 E0 9B 9C E0 56,0x80550,0x8041D
equipment_name,44,たかの像,매의 상,translated_existing_bank,,none,7,DF 38 E0 9B 9C E0 56,0x80554,0x80425
equipment_name,45,まがいの像,모조상,guide_safe_override,,none,6,E0 11 E0 A4 E0 56,0x80558,0x8042D
equipment_name,46,たん剣,단검,translated_existing_bank,,none,4,E0 37 DE F3,0x8055C,0x80434
equipment_name,47,幻の剣,신기한 검,guide_safe_override,,none,9,E0 C3 E0 AC E0 84 9C DE F3,0x80560,0x80439
equipment_name,48,<N:リ:12><N:｣:11>ラのかみか<N:ざ:2>り,리라의 머리장식,translated_existing_bank,,none,15,E0 98 E0 A6 E0 9B 9C DF 7C E0 98 E0 E1 DF B5,0x80564,0x80443
equipment_name,49,乱れる宝石,요동치는 돌,guide_safe_override,,none,11,E0 66 E0 94 E0 B0 E0 C2 9C E0 D5,0x80568,0x80453
equipment_name,50,アーマーストーン,갑옷 돌,guide_safe_override,,none,7,E0 F4 DE D8 9C E0 D5,0x8056C,0x8045F
equipment_name,51,ロマンシン<N:ク:12>ストーン,연인의 돌 1,guide_safe_override,,none,11,DF 1C E0 6A E0 9B 9C E0 D5 9C 12,0x80570,0x80467
equipment_name,52,ロマンシン<N:ク:12>ストーン,연인의 돌 2,guide_safe_override,,none,11,DF 1C E0 6A E0 9B 9C E0 D5 9C 13,0x80574,0x80473
equipment_name,53,ロマンシン<N:ク:12>ストーン,연인의 돌 3,guide_safe_override,,none,11,DF 1C E0 6A E0 9B 9C E0 D5 9C 14,0x80578,0x8047F
equipment_name,54,ロマンシン<N:ク:12>ストーン,연인의 돌 4,guide_safe_override,,none,11,DF 1C E0 6A E0 9B 9C E0 D5 9C 15,0x8057C,0x8048B
equipment_name,55,太陽の<N:げ:26>うし,태양의 거울,translated_existing_bank,,none,11,DF 08 DD CF E0 9B 9C DF 87 DF F9,0x80580,0x80497
equipment_name,56,おし花の本,꽃 도감,guide_safe_override,,none,7,DF 99 9C E0 A7 E0 01,0x80584,0x805A4
equipment_name,57,クラウ<N:ｲ:6>スの本,크라우스 도감,guide_safe_override,,none,13,E0 9D E0 A6 E0 68 E0 39 9C E0 A7 E0 01,0x80588,0x805AC
equipment_name,58,音楽集,음악집,translated_existing_bank,,none,6,DF F8 DF 1F E0 D2,0x8058C,0x805BA
equipment_name,59,ラークの紋章,라크의 문장,translated_existing_bank,,none,11,E0 A6 E0 9D E0 9B 9C DF 7B E0 E1,0x80590,0x805C1
equipment_name,60,<N:ｴ:24>かりの紋章,유카리의 문장,translated_existing_bank,,none,13,E0 AD DF E9 E0 98 E0 9B 9C DF 7B E0 E1,0x80594,0x805CD
equipment_name,61,フ<N:リ:12><N:｣:11>の紋章,포니의 문장,translated_existing_bank,,none,11,DF 02 E0 35 E0 9B 9C DF 7B E0 E1,0x80598,0x805DB
equipment_name,62,勇者の証,용자의 증거,guide_safe_override,,none,11,E0 67 E0 E0 E0 9B 9C E0 D1 DF 87,0x8059C,0x805E7
equipment_name,63,？？？？？,?????,translated_existing_bank,,none,10,E0 47 E0 47 E0 47 E0 47 E0 47,0x805A0,0x805F3
equipment_description,0,炎系の攻撃に強くなります,불 공격에 강함,guide_safe_override,,none,14,E0 0A 9C E0 C6 E0 40 E0 9F 9C E0 F2 E0 85,0x80A94,0x805FE
equipment_description,1,水系の攻撃に強くなります,물 공격에 강함,guide_safe_override,,none,14,E0 4F 9C E0 C6 E0 40 E0 9F 9C E0 F2 E0 85,0x80A98,0x8060D
equipment_description,2,<N:ｌ:5>へモジーへを回避します,헤모지 상태 방지,guide_safe_override,,none,16,DF 9D E0 11 E0 A2 9C E0 56 DF 08 9C E0 0F E0 A2,0x80A9C,0x8061C
equipment_description,3,自分の<N:Π:10><N:Ｐ:10>の回復量が大きくなります,체력 회복량 증가,guide_safe_override,,none,15,E0 90 E0 8C 9C DE C7 DF 33 40 9C E0 D1 E0 C0,0x80AA0,0x8062D
equipment_description,4,戦闘で入る経験値が2倍になります,전투 경험치 2배,guide_safe_override,,none,15,E0 CC E0 EF 9C E0 89 E0 E8 E0 B0 9C 13 DF BD,0x80AA4,0x8063D
equipment_description,5,魔力が10<N:X:20>上昇します,마력 10% 상승,guide_safe_override,,percent_code_0x06,13,E0 9E E0 8C 9C 12 11 06 9C E0 56 E0 FF,0x80AA8,0x8064D
equipment_description,6,<N:ｌ:5><N:眠:5>りへを回避します,수면 상태 방지,guide_safe_override,,none,14,DF B7 E0 4C 9C E0 56 DF 08 9C E0 0F E0 A2,0x80AAC,0x8065B
equipment_description,7,防御力が30<N:X:20>上昇します（チョン<N:力:5>ラ）,촌가라 방어력 30% 상승,guide_safe_override,,percent_code_0x06,22,DF 83 E0 C0 E0 A6 9C E0 0F E0 A0 E0 8C 9C 14 11 06 9C E0 56 E0 FF,0x80AB0,0x8066A
equipment_description,8,<N:ｌ:5>投げるへが<N:リ:12>ベル1になります,던지기 LV +1,guide_safe_override,,none,11,DF 69 E0 A2 E0 AC 9C 6C 9C 0C 12,0x80AB4,0x80681
equipment_description,9,攻撃力が<N:ｃ:12>0<N:X:20>上昇します,공격력 50% 상승,guide_safe_override,,percent_code_0x06,15,E0 C6 E0 40 E0 8C 9C 16 11 06 9C E0 56 E0 FF,0x80AB8,0x8068D
equipment_description,10,<N:ｌ:5>暗闇へを回避します,실명 방지,guide_safe_override,,none,9,DF 26 E0 4E 9C E0 0F E0 A2,0x80ABC,0x8069D
equipment_description,11,攻撃が<N:非:1>常に当たりやすくなります,명중 크게 상승,guide_safe_override,,none,14,E0 4E DF A9 9C E0 9D E0 14 9C E0 56 E0 FF,0x80AC0,0x806A7
equipment_description,12,<N:ｌ:5>投げるへが<N:ｌ:5>ぶん投げるへになります,던지기 강화,guide_safe_override,,none,11,DF 69 E0 A2 E0 AC 9C E0 F2 DE FE,0x80AC4,0x806B6
equipment_description,13,攻撃が特定の敵に強くなります,일부 적에게 강함,guide_safe_override,,none,16,E0 6B E0 0B 9C DF F2 E0 9F E0 14 9C E0 F2 E0 85,0x80AC8,0x806C2
equipment_description,14,攻撃が必す当たるようになります,공격이 반드시 명중,guide_safe_override,,none,18,E0 C6 E0 40 E0 BD 9C E0 8A DF 41 E0 61 9C E0 4E DF A9,0x80ACC,0x806D3
equipment_description,15,<N:リ:12>ベルアッ<N:フ:11>時に<N:Π:10><N:Ｐ:10>の伸びが大きくなります,성장 시 최대 체력 증가량 상승,guide_safe_override,,none,28,E0 5A E0 E1 9C E0 61 9C DF A4 E0 36 9C E0 90 E0 8C 9C E0 D1 E0 C0 40 9C E0 56 E0 FF,0x80AD0,0x806E6
equipment_description,16,魔力が30<N:X:20>上昇します （<N:ニ:13>ーゲン）,마법사 마력 30% 상승,guide_safe_override,,percent_code_0x06,20,E0 9E E0 B3 E0 A5 9C E0 9E E0 8C 9C 14 11 06 9C E0 56 E0 FF,0x80AD4,0x80703
equipment_description,17,攻撃が当たりやすくなります,명중 상승,guide_safe_override,,none,9,E0 4E DF A9 9C E0 56 E0 FF,0x80AD8,0x80718
equipment_description,18,すばやさが10<N:X:20>上昇します,민첩 10% 상승,guide_safe_override,,percent_code_0x06,13,DF BE DF EC 9C 12 11 06 9C E0 56 E0 FF,0x80ADC,0x80722
