category,index,japanese,korean_display,application_status,encoded_bytes,encoded_hex,pointer_offset,string_offset
equipment_name,0,炎の守り,불꽃의 수호,guide_term_restored_v42,11,E9 7E E9 1F E9 BD 9C E9 8D EA 8F,0x804A4,0x80224
equipment_name,1,氷の守り,얼음의 수호,guide_term_restored_v42,11,EA 5C E9 BC E9 BD 9C E9 8D EA 8F,0x804A8,0x80230
equipment_name,2,アンチへモジー,안티 헤모지,guide_term_restored_v42,11,E9 9C EA 86 9C EA 11 E9 5F E9 D9,0x804AC,0x8023C
equipment_name,3,いやしのお守り,치유의 부적,guide_term_restored_v42,11,E9 E6 E9 B7 E9 BD 9C E9 7B E9 C9,0x804B0,0x80248
equipment_name,4,きぬのおび,비단 허리띠,guide_term_restored_v42,11,E9 80 E9 2E 9C EA 0F E9 4F EA 2F,0x804B4,0x80254
equipment_name,5,魔法のカート,마법 카드,guide_term_restored_v42,9,E9 52 E9 73 9C E9 E8 E9 3B,0x804B8,0x80260
equipment_name,6,スリー<N:フ:11><N:リ:12>スカート,수면 방지 카드,guide_term_restored_v42,14,E9 8D E9 5C 9C E9 6E E9 D9 9C E9 E8 E9 3B,0x804BC,0x8026A
equipment_name,7,パワーアーム,파워 암,guide_term_restored_v42,7,E9 F8 E9 B4 9C EA 58,0x804C0,0x80279
equipment_name,8,カ<N:｣:11><N:ザ:8>ー<N:ク:12>ローフ,카이저 글러브,guide_term_restored_v42,13,E9 E8 E9 BE E9 C8 9C E9 1A E9 42 E9 7F,0x804C4,0x80281
equipment_name,9,幻のこて,환상의 장갑,guide_term_restored_v42,11,EA 90 E9 85 E9 BD 9C E9 C7 E9 05,0x804C8,0x8028F
equipment_name,10,サン<N:ク:12>ラス,선글라스,guide_term_restored_v42,8,E9 89 E9 1A E9 3F E9 90,0x804CC,0x8029B
equipment_name,11,当て方の絵巻,명중의 두루마리,guide_term_restored_v42,15,E9 5E E9 D7 E9 BD 9C E9 3A E9 4A E9 52 E9 4F,0x804D0,0x802A4
equipment_name,12,ぶん投げの絵巻,투척의 두루마리,guide_term_restored_v42,15,E9 F5 EA 71 E9 BD 9C E9 3A E9 4A E9 52 E9 4F,0x804D4,0x802B4
equipment_name,13,神のこぶし,신의 주먹,guide_term_restored_v42,9,E9 95 E9 BD 9C E9 D4 E9 58,0x804D8,0x802C4
equipment_name,14,バ<N:｣:11>オ<N:リ:12>ット<N:リ:12>ーサー,바이올렛 레이저,guide_term_restored_v42,15,E9 6A E9 BE E9 AA EA 36 9C E9 44 E9 BE E9 C8,0x804DC,0x802CE
equipment_name,15,<N:ネ:13>ック<N:リ:12>ス,목걸이,guide_term_restored_v42,6,E9 60 E9 09 E9 BE,0x804E0,0x802DE
equipment_name,16,じ<N:ぃ:20>す,염주,guide_term_restored_v42,4,EA 60 E9 D4,0x804E4,0x802E5
equipment_name,17,長老のはちまき,장로의 머리띠,guide_term_restored_v42,13,E9 C7 E9 49 E9 BD 9C E9 57 E9 4F EA 2F,0x804E8,0x802EA
equipment_name,18,しつ<N:ぷ:23>うのバンダナ,질풍의 반다나,guide_term_restored_v42,13,E9 DC EA 03 E9 BD 9C E9 6B E9 2D E9 20,0x804EC,0x802F8
equipment_name,19,<N:ハ:12><N:｣:11>パーフーツ,하이퍼 부츠,guide_term_restored_v42,11,EA 07 E9 BE E9 FB 9C E9 7B EA 74,0x804F0,0x80306
equipment_name,20,まにあわせのくつ,임시 신발,guide_term_restored_v42,9,E9 C1 E9 93 9C E9 95 E9 6D,0x804F4,0x80312
equipment_name,21,フ<N:リ:12>ス<N:リ:12>ット,팔찌 1,guide_term_restored_v42,6,E9 FA E9 DE 9C 12,0x804F8,0x8031C
equipment_name,22,フ<N:リ:12>ス<N:リ:12>ット,팔찌 2,guide_term_restored_v42,6,E9 FA E9 DE 9C 13,0x804FC,0x80323
