pointer_offset,source_offset,new_offset,japanese,korean,status,encoded_bytes,encoded_hex
0x823A4,0x8237C,0x8271E,ステージクリア,승리!,translated_new_pool,6,E0 FF E0 98 DF E3
0x823A8,0x82384,0x826A4,ゲームオーバー,게임 오버,translated_new_pool,9,E0 14 DF F6 9C E0 62 DF BB
0x823D8,0x823C0,0x826EC,<N:ｌ:5>石化へ,돌 상태,translated_new_pool,7,E0 D5 9C E0 56 DF 08
0x823DC,0x823C8,0x8275C,<N:ｌ:5>マ<N:ヒ:5>へ,마비,translated_new_pool,4,E0 9E E0 53
0x823E0,0x823D0,0x82743,<N:ｌ:5><N:眠:5>りへ,수면,translated_new_pool,4,DF B7 E0 4C
0x82444,0x823E4,0x823F9,データのセーフ・ロート,데이터 저장 불러오기,translated_new_pool,20,E0 31 E0 BD DF E8 9C E0 CB E0 E1 9C E0 0A E0 25 E0 62 E0 AC
0x82448,0x823F4,0x824A0,データのセーフ,데이터 저장,translated_new_pool,11,E0 31 E0 BD DF E8 9C E0 CB E0 E1
0x8244C,0x82400,0x82432,データのロート,데이터 불러오기,translated_new_pool,15,E0 31 E0 BD DF E8 9C E0 0A E0 25 E0 62 E0 AC
0x82450,0x82408,0x82420,カートを選んで下さい,카드를 선택하세요,translated_new_pool,17,DF E9 DF 41 E0 AB 9C E0 58 E0 B6 E0 C4 E0 5B E0 66
0x82454,0x82414,0x82702,カート1,카드 1,translated_new_pool,6,DF E9 DF 41 9C 12
0x82458,0x8241C,0x82511,カート2,카드 2,translated_new_pool,6,DF E9 DF 41 9C 13
0x8245C,0x82424,0x8240E,フ<N:=:12><N:｣:11>ルを選んで下さい,파일을 선택하세요,translated_new_pool,17,DF A0 E0 6B E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66
0x82460,0x82434,0x823C0,メモリーカートがありません,메모리 카드가 없습니다,translated_new_pool,22,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 C0 9C E0 F1 E0 5F E0 35 E0 C1
0x82474,0x82468,0x823E4,へを手に入れた,를 손에 넣었습니다.,translated_new_pool,20,E0 AB 9C E0 5D E0 9F 9C E0 33 DF FD E0 5F E0 35 E0 C1 E0 60
0x82498,0x82478,0x8237C,ステージ内で得た経験値,스테이지에서 얻은 경험치,translated_new_pool,24,E0 39 DF 07 E0 BD E0 A2 E0 9F E0 57 9C E0 B1 E0 BF 9C E0 89 E0 E8 E0 B0
0x8249C,0x8248C,0x8255C,倒した敵の数,격파한 적 수,translated_new_pool,12,E0 40 DF A0 E0 84 9C DF F2 9C DF B7
0x82518,0x824A0,0x825BD,<N:リ:12>ベルアッ<N:フ:11>！！,LV 상승!!,translated_new_pool,10,6C 9C E0 56 E0 FF DF E3 DF E3
0x8251C,0x824AC,0x825A5,最大<N:ヒ:5>ットポ<N:｣:11>ント,최대 체력이,translated_new_pool,11,DF A4 E0 36 9C E0 90 E0 8C E0 BD
0x82520,0x824B8,0x824C4,最大マジックポ<N:｣:11>ント,최대 마력이,translated_new_pool,11,DF A4 E0 36 9C E0 9E E0 8C E0 BD
0x82524,0x824C4,0x826C0,攻撃力,공격력이,translated_new_pool,8,E0 C6 E0 40 E0 8C E0 BD
0x82528,0x824C8,0x826AE,防御力,방어력이,translated_new_pool,8,E0 0F E0 A0 E0 8C E0 BD
0x8252C,0x824D0,0x826FB,魔力,마력이,translated_new_pool,6,E0 9E E0 8C E0 BD
0x82530,0x824D4,0x826C9,すばやさ,민첩성이,translated_new_pool,8,DF BE DF EC E0 5A E0 BD
0x82538,0x824E0,0x82734,上がつた,상승,translated_new_pool,4,E0 56 E0 FF
0x8253C,0x824E8,0x8274D,ジャン<N:フ:11>,점프,translated_new_pool,4,DE D2 DF 9F
0x82540,0x824F0,0x826F4,投げ,던지기,translated_new_pool,6,DF 69 E0 A2 E0 AC
0x82544,0x824F4,0x8272A,受け,받기,translated_new_pool,4,E0 10 E0 AC
0x82548,0x824F8,0x82725,反撃,반격,translated_new_pool,4,E0 8A E0 40
0x8254C,0x824FC,0x82717,<N:リ:12>ベルが上がつた,LV 상승,translated_new_pool,6,6C 9C E0 56 E0 FF
0x82554,0x8250C,0x824B8,へをお<N:げ:26>えた,를 배웠다.,translated_new_pool,11,E0 AB 9C DF BD DE D6 E0 C1 E0 60
0x825C8,0x8255C,0x824D0,サウント出力,사운드 출력,translated_new_pool,11,E0 A5 DF FA DF 41 9C E0 FC E0 8C
0x825CC,0x82564,0x82575,パットななめ入力,대각선 입력,translated_new_pool,11,E0 36 E0 43 E0 58 9C E0 C9 E0 8C
0x825D0,0x82570,0x82395,<N:午:15>ャンセルかくにん,돌아가기 확인,translated_new_pool,13,E0 D5 E0 9C E0 C0 E0 AC 9C DE C8 E0 6A
0x825D4,0x8257C,0x82581,へル<N:フ:11>ウ<N:｣:11>ントウ,도움말 보기,translated_new_pool,11,E0 A7 DF 17 E0 BE 9C E0 93 E0 AC
