category,pointer_offset,korean,old_target,new_target,encoded_bytes,encoded_hex,action
system,0x780E8,처음부터,0x8207A,0x81E2F,8,DF 0C DF F8 E0 0B DF E8,allocate_and_repoint
system,0x780EC,저장 데이터가 없습니다,0x81F9D,0x81DE0,22,E0 CB E0 E1 9C E0 31 E0 BD DF E8 E0 C0 9C E0 F1 E0 5F E0 35 E0 C1,allocate_and_repoint
system,0x780F4,그대로 계속하기,0x82025,0x81F38,15,E0 29 E0 36 E0 D6 9C E0 9A E0 5C E0 C4 E0 AC,allocate_and_repoint
system,0x780F8,데이터가 손상되었습니다,0x81F85,0x81DB1,23,E0 31 E0 BD DF E8 E0 C0 9C E0 5D E0 56 E0 2F DF FD E0 5F E0 35 E0 C1,allocate_and_repoint
system,0x82AC4,저장하시겠습니까?,0x81FCB,0x81E0A,18,E0 CB E0 E1 E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,allocate_and_repoint
system,0x82ACC,진행하시겠습니까?,0x81FDE,0x81DF7,18,DF 10 E0 8B E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47,allocate_and_repoint
system,0x82348,대상 변경,0x82070,0x8205D,9,E0 36 E0 56 9C DE 3C E0 89,allocate_and_repoint
system,0x8234C,"공격, 연결 열기",0x82003,0x81F27,16,E0 C6 E0 40 DF E2 9C DF 1C DF 86 9C E0 B2 E0 AC,allocate_and_repoint
system,0x82358,돌아갑니다,0x82044,0x82034,10,E0 D5 E0 9C E0 F4 E0 35 E0 C1,allocate_and_repoint
system,0x8235C,{결정버튼}결정 {취소버튼}돌아가기,0x82094,0x81F04,17,E7 02 DF 86 E0 EB 9C E7 03 E0 D5 E0 9C E0 C0 E0 AC,allocate_and_repoint
system,0x82360,다음 대상을 선택합니다,0x81FB4,0x81DC9,22,E0 C1 DF F8 9C E0 36 E0 56 E0 A3 9C E0 58 E0 B6 E0 86 E0 35 E0 C1,allocate_and_repoint
system,0x8236C,비어 있는 곳을 선택하세요,0x81F6B,0x81D97,25,E0 53 E0 A0 9C E0 CA E0 C2 9C E0 7B E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,allocate_and_repoint
system,0x82374,인물을 선택하세요,0x81FF1,0x81E1D,17,E0 6A E0 4F E0 A3 9C E0 58 E0 B6 E0 C4 E0 5B E0 66,allocate_and_repoint
system,0x82AC0,예      아니요,0x82035,0x81F58,14,DF 1A 9C 9C 9C 9C 9C 9C E0 9C E0 35 E0 66,allocate_and_repoint
system,0x81EE8,스메리아,0x82083,0x820AC,8,E0 39 E0 8F E0 98 E0 9C,allocate_and_repoint
system,0x81EF0,그레이시누,0x8204F,0x82008,10,E0 29 DF D2 E0 BD E0 61 E0 34,allocate_and_repoint
system,0x81EF4,아라라토스,0x8205A,0x82013,10,E0 9C E0 A6 E0 A6 E0 7E E0 39,allocate_and_repoint
system,0x81F00,지크라프섬,0x82065,0x8201E,10,E0 A2 E0 9D E0 A6 DF 9F DF 2D,allocate_and_repoint
nonstory_system,0x825D8,몬스터 도감,0x82478,0x81FF1,11,E9 61 E9 90 E9 F3 9C E9 36 E9 04,allocate_and_repoint
nonstory_system,0x82944,사일런트,0x80E5E,0x820D0,8,E0 A5 E0 6B E0 BC E0 82,allocate_and_repoint
nonstory_system,0x82954,자폭,0x81077,0x82113,4,E0 E0 DE CB,allocate_and_repoint
nonstory_system,0x82958,드림 노크,0x80F9B,0x82049,9,DF 41 DF 3A 9C E0 3C E0 9D,allocate_and_repoint
nonstory_system,0x8295C,대폭발,0x80F94,0x820F6,6,E0 36 DE CB E0 FA,allocate_and_repoint
nonstory_system,0x82960,바람 검,0x80FB7,0x820D9,7,DF 6E E0 BA 9C DE F3,allocate_and_repoint
nonstory_system,0x82964,전기 폭풍,0x80FC9,0x82099,9,E0 CC E0 AC 9C DE CB DE C9,allocate_and_repoint
nonstory_system,0x8296C,해로운 기운 제거,0x80E4D,0x81F16,16,E0 88 E0 D6 DF FA 9C E0 AC DF FA 9C E0 AA DF 87,allocate_and_repoint
nonstory_system,0x82970,하늘의 심판,0x80E70,0x81FE5,11,E0 C4 DF D7 E0 9B 9C DF 25 DF 05,allocate_and_repoint
nonstory_system,0x82974,부활,0x80E7C,0x82109,4,E0 0B E0 80,allocate_and_repoint
nonstory_system,0x82978,디바이드,0x80E81,0x820C7,8,E0 A1 DF 6E E0 BD DF 41,allocate_and_repoint
nonstory_system,0x82980,회복,0x80C96,0x82104,4,DE C7 DF 33,allocate_and_repoint
nonstory_system,0x829C4,헤모지,0x81033,0x820EF,6,DF 9D E0 11 E0 A2,allocate_and_repoint
nonstory_system,0x829E4,번 그라운드,0x80E13,0x81F9D,11,DE E5 9C E0 29 E0 A6 DF FA DF 41,allocate_and_repoint
nonstory_system,0x829E8,전체 회복,0x80E1F,0x8208F,9,E0 CC E0 90 9C DE C7 DF 33,allocate_and_repoint
nonstory_system,0x829EC,게일 플래시,0x80E29,0x81FB5,11,E0 14 E0 6B 9C DF 9E E0 BB E0 61,allocate_and_repoint
nonstory_system,0x829F0,슬로우 에너미,0x80E35,0x81F67,13,DF B6 E0 D6 E0 68 9C E0 9F E0 32 E0 50,allocate_and_repoint
nonstory_system,0x829F4,별 내리기,0x80E43,0x8203F,9,DE E2 9C DF 97 E0 98 E0 AC,allocate_and_repoint
nonstory_system,0x829F8,회복,0x80C96,0x82104,4,DE C7 DF 33,allocate_and_repoint
