table_key,index,status,korean_target,missing_glyphs,encoded_bytes,encoded_hex,pointer_offset,string_offset
equipment_name,0,preserved_v25_missing_glyph,불꽃의 수호,호,5,BF 1C DD 1E 39,0x804A4,0x80224
equipment_name,1,preserved_v25_missing_glyph,얼음의 수호,얼호,6,DF 14 1C DD 1E 39,0x804A8,0x8022A
equipment_name,2,preserved_v25_missing_glyph,안티 헤모지,티,8,42 34 6C DD 3B 5F 7F 31,0x804AC,0x80231
equipment_name,3,translated_existing_bank,치유의 부적,,11,E0 B0 E0 AD E0 9B 9C E0 0B DF F2,0x804B0,0x8023A
equipment_name,4,preserved_v25_missing_glyph,비단 허리띠,띠,6,44 DD 4F 1C 3B 99,0x804B4,0x80246
equipment_name,5,translated_existing_bank,마법 카드,,9,E0 9E E0 B3 9C DF E9 DF 41,0x804B8,0x8024D
equipment_name,6,translated_existing_bank,수면 방지 카드,,14,DF B7 E0 4C 9C E0 0F E0 A2 9C DF E9 DF 41,0x804BC,0x80257
equipment_name,7,preserved_v25_missing_glyph,파워 암,암,7,A3 DD A0 31 42 31 D8,0x804C0,0x80266
equipment_name,8,translated_existing_bank,카이저 글러브,,13,DF E9 E0 BD E0 CB 9C DE F2 E0 25 DE E1,0x804C4,0x8026E
equipment_name,9,preserved_v25_missing_glyph,환상의 장갑,환,5,DD F2 1C 2E 21,0x804C8,0x8027C
equipment_name,10,translated_existing_bank,선글라스,,8,E0 58 DE F2 E0 A6 E0 39,0x804CC,0x80282
equipment_name,11,translated_existing_bank,명중의 두루마리,,15,E0 4E DF A9 E0 9B 9C E0 F8 E0 44 E0 9E E0 98,0x804D0,0x8028B
equipment_name,12,preserved_v25_missing_glyph,투척의 두루마리,척,10,CA 2D DE 04 9C 1C DE F7 DE F6,0x804D4,0x8029B
equipment_name,13,translated_existing_bank,신의 주먹,,9,E0 C3 E0 9B 9C E0 CF DF CF,0x804D8,0x802A6
equipment_name,14,preserved_v25_missing_glyph,바이올렛 레이저,렛,10,AF 65 8F 6F 82 5C 6F 31 77 31,0x804DC,0x802B0
equipment_name,15,translated_existing_bank,목걸이,,6,DF 63 E0 B4 E0 BD,0x804E0,0x802BB
equipment_name,16,preserved_v25_missing_glyph,염주,염,4,4A DE 20 8C,0x804E4,0x802C2
equipment_name,17,preserved_v25_missing_glyph,장로의 머리띠,띠,7,D4 A8 1C 28 4B 27 44,0x804E8,0x802C7
equipment_name,18,translated_existing_bank,질풍의 반다나,,13,DF A7 DE C9 E0 9B 9C E0 8A E0 C1 E0 99,0x804EC,0x802CF
equipment_name,19,preserved_v25_missing_glyph,하이퍼 부츠,츠,9,DD A2 65 A3 31 C9 31 DF 01,0x804F0,0x802DD
equipment_name,20,translated_existing_bank,임시 신발,,9,DF F6 E0 61 9C E0 C3 E0 FA,0x804F4,0x802E7
equipment_name,21,translated_existing_bank,팔찌 1,,6,DF 8B DF 0D 9C 12,0x804F8,0x802F1
equipment_name,22,translated_existing_bank,팔찌 2,,6,DF 8B DF 0D 9C 13,0x804FC,0x802F8
equipment_name,23,preserved_v25_missing_glyph,기술의 팔찌,술,9,DD 4C 1C C9 6F 47 6F 82 5C,0x80500,0x802FF
