table_key,index,japanese,status,korean_target,missing_glyphs,encoded_bytes,encoded_hex,pointer_offset,string_offset
equipment_name,0,炎の守り,guide_safe_override,불꽃 방어,,9,E0 0A DF 99 9C E0 0F E0 A0,0x804A4,0x80224
equipment_name,1,氷の守り,guide_safe_override,차가운 바람 방어,,16,E0 96 E0 C0 DF FA 9C DF 6E E0 BA 9C E0 0F E0 A0,0x804A8,0x8022E
equipment_name,2,アンチへモジー,guide_safe_override,헤모지 방지,,11,DF 9D E0 11 E0 A2 9C E0 0F E0 A2,0x804AC,0x8023F
equipment_name,3,いやしのお守り,translated_existing_bank,치유의 부적,,11,E0 B0 E0 AD E0 9B 9C E0 0B DF F2,0x804B0,0x8024B
equipment_name,4,きぬのおび,guide_safe_override,비단 허리 장식,,14,E0 53 E0 37 9C E0 F6 E0 98 9C E0 E1 DF B5,0x804B4,0x80257
equipment_name,5,魔法のカート,translated_existing_bank,마법 카드,,9,E0 9E E0 B3 9C DF E9 DF 41,0x804B8,0x80266
equipment_name,6,スリー<N:フ:11><N:リ:12>スカート,translated_existing_bank,수면 방지 카드,,14,DF B7 E0 4C 9C E0 0F E0 A2 9C DF E9 DF 41,0x804BC,0x80270
equipment_name,7,パワーアーム,guide_safe_override,강화 팔,,7,E0 F2 DE FE 9C DF 8B,0x804C0,0x8027F
equipment_name,8,カ<N:｣:11><N:ザ:8>ー<N:ク:12>ローフ,translated_existing_bank,카이저 글러브,,13,DF E9 E0 BD E0 CB 9C DE F2 E0 25 DE E1,0x804C4,0x80287
equipment_name,9,幻のこて,guide_safe_override,신기한 장갑,,11,E0 C3 E0 AC E0 84 9C E0 E1 E0 F4,0x804C8,0x80295
equipment_name,10,サン<N:ク:12>ラス,translated_existing_bank,선글라스,,8,E0 58 DE F2 E0 A6 E0 39,0x804CC,0x802A1
equipment_name,11,当て方の絵巻,translated_existing_bank,명중의 두루마리,,15,E0 4E DF A9 E0 9B 9C E0 F8 E0 44 E0 9E E0 98,0x804D0,0x802AA
equipment_name,12,ぶん投げの絵巻,guide_safe_override,던지기 두루마리,,15,DF 69 E0 A2 E0 AC 9C E0 F8 E0 44 E0 9E E0 98,0x804D4,0x802BA
equipment_name,13,神のこぶし,translated_existing_bank,신의 주먹,,9,E0 C3 E0 9B 9C E0 CF DF CF,0x804D8,0x802CA
equipment_name,14,バ<N:｣:11>オ<N:リ:12>ット<N:リ:12>ーサー,guide_safe_override,보라 레이저,,11,E0 93 E0 A6 9C DF D2 E0 BD E0 CB,0x804DC,0x802D4
equipment_name,15,<N:ネ:13>ック<N:リ:12>ス,translated_existing_bank,목걸이,,6,DF 63 E0 B4 E0 BD,0x804E0,0x802E0
