index,record_type,japanese,korean,reference,basis
0,skill_name,,,PSX.EXE 일본어 원문,공략본에 없는 적 전용 기술로 PSX.EXE 원문 효과를 반영
1,skill_name,バーン<N:ク:12>ラウント,번 그라운드,Game Magazine p.92 (아크),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
2,skill_name,トータル<N:ヒ:5>ーリン<N:ク:12>,전체 회복,Game Magazine p.92 (아크),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
3,skill_name,ゲ<N:｣:11>ルフラッシュ,게일 플래시,Game Magazine p.92 (아크),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
4,skill_name,スロウエ<N:ネ:13>ミー,슬로우 에너미,Game Magazine p.92 (아크),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
5,skill_name,メテオフ<N:｣:13>ール,별 내리기,Game Magazine p.92 (아크),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
6,skill_name,<N:午:15>ュア,회복,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
7,skill_name,デポ<N:｣:11><N:ス:15>ン,해로운 기운 제거,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
8,skill_name,サ<N:｣:11><N:リ:12>ント,사일런트,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
9,skill_name,リフ<N:リ:12>ッシュ,리프레시,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
10,skill_name,天のさばき,하늘의 심판,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
11,skill_name,リ<N:ザ:8><N:リ:12>クション,부활,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
12,skill_name,デ<N:ｲ:6>バ<N:｣:11>ト,디바이드,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
13,skill_name,桜花雷爆斬,토슈 비기,Game Magazine p.94 (토슈),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
14,skill_name,呪縛剣,봉인검,Game Magazine p.94 (토슈),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
15,skill_name,<N:真:2><N:空:2>斬,진공검,Game Magazine p.94 (토슈),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
16,skill_name,<N:虎:5><N:影:1>斬,그림자검,Game Magazine p.94 (토슈),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
17,skill_name,戦の小太鼓,전투 큰 북,Game Magazine p.92 (포코),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
18,skill_name,荒獅子太鼓,황사자태고,Game Magazine p.92 (포코),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
19,skill_name,気合いラッパ,기합 나팔,Game Magazine p.92 (포코),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
20,skill_name,へろへろラッパ,비틀비틀 나팔,Game Magazine p.92 (포코),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
21,skill_name,いやしのたてごと,치유의 하프,Game Magazine p.92 (포코),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
22,skill_name,のろまのベース,느림의 연주,Game Magazine p.92 (포코),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
23,skill_name,い<N:駄:2>天のオカリナ,위타천 오카리나,Game Magazine p.92 (포코),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
24,skill_name,向き直りの笛,방향잡이 피리,Game Magazine p.92 (포코),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영
