index,record_type,japanese,korean,reference,basis
0,skill_name,,,PSX.EXE 일본어 원문,공략본에 없는 적 전용 기술로 PSX.EXE 원문 효과를 반영; v0.42 공략본 기준 명칭/효과 복원
1,skill_name,バーン<N:ク:12>ラウント,번 그라운드,Game Magazine p.92 (아크),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
2,skill_name,トータル<N:ヒ:5>ーリン<N:ク:12>,토탈 힐링,Game Magazine p.92 (아크),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
3,skill_name,ゲ<N:｣:11>ルフラッシュ,게일 플래시,Game Magazine p.92 (아크),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
4,skill_name,スロウエ<N:ネ:13>ミー,슬로우 에너미,Game Magazine p.92 (아크),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
5,skill_name,メテオフ<N:｣:13>ール,메테오 폴,Game Magazine p.92 (아크),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
6,skill_name,<N:午:15>ュア,큐어,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
7,skill_name,デポ<N:｣:11><N:ス:15>ン,디포이즌,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
8,skill_name,サ<N:｣:11><N:リ:12>ント,사일런트,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
9,skill_name,リフ<N:リ:12>ッシュ,리프레시,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
10,skill_name,天のさばき,천벌,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
11,skill_name,リ<N:ザ:8><N:リ:12>クション,리저렉션,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
12,skill_name,デ<N:ｲ:6>バ<N:｣:11>ト,디바이드,Game Magazine p.93 (쿠쿠루),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
13,skill_name,桜花雷爆斬,앵화뇌폭참,Game Magazine p.94 (토슈),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
14,skill_name,呪縛剣,주박검,Game Magazine p.94 (토슈),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
15,skill_name,<N:真:2><N:空:2>斬,진공참,Game Magazine p.94 (토슈),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
16,skill_name,<N:虎:5><N:影:1>斬,호영참,Game Magazine p.94 (토슈),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
17,skill_name,戦の小太鼓,전투의 북,Game Magazine p.92 (포코),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
18,skill_name,荒獅子太鼓,황사자 북,Game Magazine p.92 (포코),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
19,skill_name,気合いラッパ,기합 나팔,Game Magazine p.92 (포코),공략본의 한국어 명칭/효과와 PSX.EXE 원문을 함께 반영; v0.42 공략본 기준 명칭/효과 복원
