pointer_offset,source_offset,new_offset,encoded_bytes,korean,encoded_hex
0x780E8,0x7809C,0x8207A,8,처음부터,DF 0C DF F8 E0 0B DF E8
0x780EC,0x780A4,0x81F9D,22,저장 데이터가 없습니다,E0 CB E0 E1 9C E0 31 E0 BD DF E8 E0 C0 9C E0 F1 E0 5F E0 35 E0 C1
0x780F0,0x780B0,0x78127,34,메모리 카드에 남은 공간이 없습니다,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 9F 9C E0 2C E0 BF 9C E0 C6 E0 F7 E0 BD 9C E0 F1 E0 5F E0 35 E0 C1
0x780F4,0x780C0,0x82025,15,그대로 계속하기,E0 29 E0 36 E0 D6 9C E0 9A E0 5C E0 C4 E0 AC
0x780F8,0x780CC,0x81F85,23,데이터가 손상되었습니다,E0 31 E0 BD DF E8 E0 C0 9C E0 5D E0 56 E0 2F DF FD E0 5F E0 35 E0 C1
0x781B8,0x78100,0x822AD,26,불러올 데이터를 선택하세요,E0 0A E0 25 DE D9 9C E0 31 E0 BD DF E8 E0 AB 9C E0 58 E0 B6 E0 C4 E0 5B E0 66
0x781BC,0x78110,0x781FC,35,메모리 카드 없이 계속하시겠습니까?,E0 8F E0 11 E0 98 9C DF E9 DF 41 9C E0 F1 E0 BD 9C E0 9A E0 5C E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47
0x781C0,0x7812C,0x781D4,39,메모리 카드를 넣고 확인 버튼을 누르세요,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 AB 9C E0 33 E0 7F 9C DE C8 E0 6A 9C DF BB DE CC E0 A3 9C E0 34 E0 46 E0 5B E0 66
0x781C4,0x7814C,0x8228E,30,어느 카드를 사용하시겠습니까?,E0 A0 E0 3A 9C DF E9 DF 41 E0 AB 9C E0 A5 E0 67 E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47
0x781C8,0x7815C,0x7814A,34,메모리 카드를 초기화하시겠습니까?,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 AB 9C DF EB E0 AC DE FE E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47
0x781CC,0x78174,0x7809C,45,메모리 카드가 가득합니다. 계속하시겠습니까?,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 C0 9C E0 C0 DE 5B E0 86 E0 35 E0 C1 E0 60 9C E0 9A E0 5C E0 C4 E0 61 E0 A8 E0 5F E0 35 DF 59 E0 47
0x781D0,0x78194,0x82A88,48,쓰지 않는 데이터를 지우거나 다른 카드를 넣으세요,E0 02 E0 A2 9C DF B2 E0 C2 9C E0 31 E0 BD DF E8 E0 AB 9C E0 A2 E0 68 DF 87 E0 99 9C E0 C1 E0 AF 9C DF E9 DF 41 E0 AB 9C E0 33 E0 DF E0 5B E0 66
0x78220,0x781D4,0x8226E,31,메모리 카드를 확인하고 있습니다,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 AB 9C DE C8 E0 6A E0 C4 E0 7F 9C E0 CA E0 5F E0 35 E0 C1
0x78224,0x781E8,0x7816D,33,메모리 카드를 초기화하고 있습니다,E0 8F E0 11 E0 98 9C DF E9 DF 41 E0 AB 9C DF EB E0 AC DE FE E0 C4 E0 7F 9C E0 CA E0 5F E0 35 E0 C1
0x78228,0x78200,0x822C8,26,데이터를 저장하고 있습니다,E0 31 E0 BD DF E8 E0 AB 9C E0 CB E0 E1 E0 C4 E0 7F 9C E0 CA E0 5F E0 35 E0 C1
