"category","index","japanese","v41_glyph_limited","v42_v43_restored","v41_status","reference"
"character_name","11","ス<N:ゲ:16>ルトン","죽은 병사","스켈레톤","guide_safe_override","project_translation+local_guide_reference"
"character_name","22","エ<N:リ:12>メンタル","정령","엘리멘탈","guide_safe_override","project_translation+local_guide_reference"
"character_name","24","フ<N:=:12>ンタ<N:ス:15>ム","유령","팬텀","guide_safe_override","project_translation+local_guide_reference"
"character_name","26","マ<N:｣:11>テ<N:ｲ:6>フラ<N:｣:11>","거대 파리","마이티 플라이","guide_safe_override","project_translation+local_guide_reference"
"character_name","28","<N:リ:12>ットス<N:ゲ:16>ルトン","빨간 죽은 병사","레드 스켈레톤","guide_safe_override","project_translation+local_guide_reference"
"character_name","29","フラックスカル","검은 죽은 병사","블랙 스컬","guide_safe_override","project_translation+local_guide_reference"
"character_name","38","<N:ネ:13>クロマンサー","사령 마법사","네크로맨서","guide_safe_override","project_translation+local_guide_reference"
"character_name","40","闇法師","어두운 법사","암법사","guide_safe_override","project_translation+local_guide_reference"
"character_name","43","<N:ネ:13><N:ビ:5>ュラス","연무 괴물","네뷰러스","guide_safe_override","project_translation+local_guide_reference"
"character_name","48","ソートマン","검사","소드맨","guide_safe_override","project_translation+local_guide_reference"
"character_name","51","ポ<N:｣:11><N:ス:15>ンスモッ<N:ク:12>","해로운 연기","포이즌 스모그","guide_safe_override","project_translation+local_guide_reference"
"character_name","53","トラ<N:ニ:13>ンフラ<N:｣:11>","왕잠자리","드래곤 플라이","guide_safe_override","project_translation+local_guide_reference"
"character_name","54","マントラッ<N:フ:11>","식인 식물","맨트랩","guide_safe_override","project_translation+local_guide_reference"
"character_name","56","エ<N:リ:12>メンタルマスター","정령 지배자","엘리멘탈 마스터","guide_safe_override","project_translation+local_guide_reference"
"character_name","62","スタン<N:ニ:13>ー<N:リ:12>ム","바위 거인","스톤 골렘","guide_safe_override","project_translation+local_guide_reference"
"character_name","66","フ<N:=:12><N:｣:11>ア<N:ニ:13>ー<N:リ:12>ム","불의 거인","파이어 골렘","guide_safe_override","project_translation+local_guide_reference"
"character_name","67","カッパートラ<N:ニ:13>ン","구리 용","코퍼 드래곤","guide_safe_override","project_translation+local_guide_reference"
"character_name","68","<N:ク:12><N:リ:12>ートサー<N:へ:4>ント","거대 뱀","그레이트 서펀트","guide_safe_override","project_translation+local_guide_reference"
"character_name","74","<N:ヒ:5>ョウエン<N:午:15>","불 도깨비","효엔키","guide_safe_override","project_translation+local_guide_reference"
"consumable_description","2","<N:リ:12>ベルアッ<N:フ:11>します","LV 1 상승","레벨 1 상승","guide_exact_lv_fallback","project_translation+local_guide_reference"
"consumable_description","8","<N:毒:1>を<N:振:2>りまきます","해로운 기운 부여","독 부여","guide_safe_override","project_translation+local_guide_reference"
"consumable_description","14","<N:毒:1>を取りのぞきます","해로운 기운 회복","독 회복","guide_safe_override","project_translation+local_guide_reference"
"consumable_description","24","<N:振:2>りまくと、目が見えなくなります","명중 감소","명중률 감소","guide_safe_override","project_translation+local_guide_reference"
"consumable_description","26","石化から元に戻ります","몸 마비 회복","석화 회복","guide_safe_override","project_translation+local_guide_reference"
"consumable_description","27","封じられた魔法が使えるようになります","마법 봉인 회복","침묵 회복","guide_safe_override","project_translation+local_guide_reference"
"consumable_description","28","チョン<N:力:5>ラがモンスターを召喚するのに使います","촌가라의 마물 부르기","촌가라의 몬스터 소환","guide_safe_override","project_translation+local_guide_reference"
"consumable_name","0","ねばねば","거미줄","끈끈이","guide_safe_override","project_translation+local_guide_reference"
"consumable_name","1","やる気<N:г:23>リー","기운 음식","의욕 젤리","guide_safe_override","project_translation+local_guide_reference"
"consumable_name","8","<N:毒:1>薬","위험한 풀","독초","guide_safe_override","project_translation+local_guide_reference"
"consumable_name","11","小さい爆弾","작은 폭발 구슬","작은 폭탄","guide_safe_override","project_translation+local_guide_reference"
"consumable_name","12","大きい爆弾","큰 폭발 구슬","큰 폭탄","guide_safe_override","project_translation+local_guide_reference"
"consumable_name","13","万能薬","만병약","만능약","guide_safe_override","project_translation+local_guide_reference"
"consumable_name","22","魔力の葉","마력의 풀","마력의 잎","guide_safe_override","project_translation+local_guide_reference"
