char,occurrences,kind,index,code,lookup_slot,note
앗,30,strip_b,5297,EA9C,409,strip B slot 5
빛,25,strip_b,5298,EA9D,410,strip B slot 6
페,25,strip_b,5299,EA9E,411,strip B slot 7
료,22,strip_b,5300,EA9F,412,strip B slot 8
견,17,strip_b,5301,EAA0,413,strip B slot 9
땅,17,strip_b,5302,EAA1,414,strip B slot 10
듣,16,strip_b,5303,EAA2,415,strip B slot 11
볼,16,strip_b,5304,EAA3,416,strip B slot 12
잊,16,strip_b,5305,EAA4,417,strip B slot 13
톨,16,strip_b,5306,EAA5,418,strip B slot 14
놓,15,strip_b,5307,EAA6,419,strip B slot 15
낙,12,strip_b,5308,EAA7,420,strip B slot 16
딘,12,strip_b,5309,EAA8,421,strip B slot 17
찬,12,strip_b,5310,EAA9,422,strip B slot 18
통,12,strip_b,5311,EAAA,423,strip B slot 19
빠,11,strip_b,5312,EAAB,424,strip B slot 20
액,11,strip_b,5313,EAAC,425,strip B slot 21
턴,11,strip_b,5314,EAAD,426,strip B slot 22
급,10,strip_b,5315,EAAE,427,strip B slot 23
란,10,strip_b,5316,EAAF,428,strip B slot 24
므,9,strip_b,5317,EAB0,429,strip B slot 25
혀,9,strip_b,5318,EAB1,430,strip B slot 26
횟,9,strip_b,5319,EAB2,431,strip B slot 27
낳,8,strip_b,5320,EAB3,432,strip B slot 28
냈,8,strip_b,5321,EAB4,433,strip B slot 29
쁜,8,strip_b,5322,EAB5,434,strip B slot 30
햣,8,strip_b,5323,EAB6,435,strip B slot 31
훗,8,strip_b,5324,EAB7,436,strip B slot 32
겸,7,strip_b,5325,EAB8,437,strip B slot 33
깐,7,strip_b,5326,EAB9,438,strip B slot 34
등,7,strip_b,5327,EABA,439,strip B slot 35
셈,7,strip_b,5328,EABB,440,strip B slot 36
쨌,7,strip_b,5329,EABC,441,strip B slot 37
캐,7,strip_b,5330,EABD,442,strip B slot 38
근,6,strip_b,5331,EABE,443,strip B slot 39
죄,6,strip_b,5332,EABF,444,strip B slot 40
칭,6,strip_b,5333,EAC0,445,strip B slot 41
권,5,strip_b,5334,EAC1,446,strip B slot 42
릭,5,strip_b,5335,EAC2,447,strip B slot 43
백,5,strip_b,5336,EAC3,448,strip B slot 44
쁘,5,strip_b,5337,EAC4,449,strip B slot 45
슷,5,strip_b,5338,EAC5,450,strip B slot 46
재,5,strip_b,5339,EAC6,451,strip B slot 47
쩌,5,strip_b,5340,EAC7,452,strip B slot 48
착,5,strip_b,5341,EAC8,453,strip B slot 49
철,5,strip_b,5342,EAC9,454,strip B slot 50
청,5,strip_b,5343,EACA,455,strip B slot 51
