char,code_hex,lookup_slot,physical_index,occurrences_committed,occurrences_pre_reduction
혜,EACB,456,4452,5,5
힌,EACC,457,4453,5,5
떨,EACD,458,4454,4,4
취,EACE,459,4455,4,3
교,EACF,460,4456,3,3
껴,EAD0,461,4457,3,3
끔,EAD1,462,4458,3,3
럽,EAD2,463,4459,3,3
릿,EAD3,464,4460,3,3
맙,EAD4,465,4461,3,3
썩,EAD5,466,4462,3,3
즉,EAD6,467,4463,3,3
값,EAD7,468,4464,2,2
겼,EAD8,469,4465,2,2
긋,EAD9,470,4466,2,2
꾀,EADA,471,4467,2,2
듯,EADB,472,4468,2,3
랜,EADC,473,4469,2,2
엑,EADD,474,4470,2,2
엽,EADE,475,4471,2,2
옮,EADF,476,4472,2,2
존,EAE0,477,4473,2,2
챔,EAE1,478,4474,2,2
탐,EAE2,479,4475,2,2
탱,EAE3,480,4476,2,2
흘,EAE4,481,4477,2,2
끓,EAE5,482,4478,1,1
덤,EAE6,483,4479,1,1
맵,EAE7,484,4480,1,1
멍,EAE8,485,4481,1,1
앙,EAE9,486,4482,1,1
큭,EAEA,487,4483,1,1
캬,EAEB,488,4484,0,25
왠,EAEC,489,4485,0,11
갖,EAED,490,4486,0,9
깊,EAEE,491,4487,0,8
념,EAEF,492,4488,0,8
꿀,EAF0,493,4489,0,6
뼈,EAF1,494,4490,0,5
낸,EAF2,495,4491,0,4
몇,EAF3,496,4492,0,4
릅,EAF4,497,4493,0,3
꽤,EAF5,498,4494,0,2
둬,EAF6,499,4495,0,2
똑,EAF7,500,4496,0,2
렁,EAF8,501,4497,0,2
완,EAF9,502,4498,0,2
쩔,EAFA,503,4499,0,2
쩜,EAFB,504,4500,0,2
컷,EAFC,505,4501,0,2
픈,EAFD,506,4502,0,2
핑,EAFE,507,4503,0,2
