row_number,source file,offset,length,raw_sha256,raw_hex,classification,evidence,write_policy
272,21/S2041.DAT,0x47D3C,8,CA24D939281E4A211741E2C57D76CE87512F4DF3B94519D62B48F7B54DA9D11D,4D 37 34 2F 3C 33 43 1F,repeated_external_table_record,"05_docs/test_log.txt:2025; 05_docs/codex_notes.txt:1376-1378; 2026-08-07 read audit: extractor false positive, not dialogue",PROTECT_BYTE_EXACT_NEVER_TRANSLATE
273,21/S2041.DAT,0x47D5A,46,F9C88ECD2969DE671CF612E935E805461018495418FEDB1302D39A303A425054,E5 02 DD D2 7D 32 DE 46 DE 04 DD 3A B4 E6 00 E5 02 89 97 DE 46 DE 04 DD 3A B4 E6 00 E5 02 DA 25 2A 4D 2D E6 00 E5 02 38 31 56 75 2D E6 00,repeated_external_table_record,"05_docs/test_log.txt:2025; 05_docs/codex_notes.txt:1376-1378; 2026-08-07 read audit: extractor false positive, not dialogue",PROTECT_BYTE_EXACT_NEVER_TRANSLATE
274,21/S2041.DAT,0x47DB2,8,A04C3B33C03E073335DE217E982071A9F6E8139B101ABA245980ADE137818DC2,3D 36 2B 2F 48 30 5D 34,repeated_external_table_record,"05_docs/test_log.txt:2025; 05_docs/codex_notes.txt:1376-1378; 2026-08-07 read audit: extractor false positive, not dialogue",PROTECT_BYTE_EXACT_NEVER_TRANSLATE
275,21/S2041.DAT,0x47DD4,50,34BB9DCC82F39A278F55A2C0C0C137384A328C06860486C94C90F8C84D2D9AF7,E5 02 4A 7E 7D 32 B0 DD 18 E6 00 E5 02 DD 37 44 8B 27 D2 B0 DD 18 E6 00 E5 02 A6 67 6F 4C 27 DD CB B0 DD 18 E6 00 E5 02 DD 34 1B DF 27 27 DD 0A E6 00,repeated_external_table_record,"05_docs/test_log.txt:2025; 05_docs/codex_notes.txt:1376-1378; 2026-08-07 read audit: extractor false positive, not dialogue",PROTECT_BYTE_EXACT_NEVER_TRANSLATE
276,21/S2041.DAT,0x47E2C,51,615717B6ECE617FE154CAFF89CA545A337BBC0BDDF20A431009CF2F2614F05F7,E5 02 32 54 54 51 4A B0 DD 18 E6 00 E5 02 32 7D DD 39 27 4C D1 B0 DD 18 E6 00 E5 02 DD CC 27 DD 85 44 B0 DD 18 E6 00 E5 02 DD 34 1B DF 27 27 DD 0A E6 00,repeated_external_table_record,"05_docs/test_log.txt:2025; 05_docs/codex_notes.txt:1376-1378; 2026-08-07 read audit: extractor false positive, not dialogue",PROTECT_BYTE_EXACT_NEVER_TRANSLATE
277,21/S2041.DAT,0x47E86,26,F923C55B0D36998C6B17B90DD20F8463A73DAFA4F959B37170C574ADEEBE686A,E5 02 28 54 27 DD 68 DF 4A B0 DD 18 E6 00 E5 02 DD 34 1B DF 27 27 DD 0A E6 00,repeated_external_table_record,"05_docs/test_log.txt:2025; 05_docs/codex_notes.txt:1376-1378; 2026-08-07 read audit: extractor false positive, not dialogue",PROTECT_BYTE_EXACT_NEVER_TRANSLATE
300,21/S2042.DAT,0x47D3C,8,CA24D939281E4A211741E2C57D76CE87512F4DF3B94519D62B48F7B54DA9D11D,4D 37 34 2F 3C 33 43 1F,repeated_external_table_record,"05_docs/test_log.txt:2025; 05_docs/codex_notes.txt:1376-1378; 2026-08-07 read audit: extractor false positive, not dialogue",PROTECT_BYTE_EXACT_NEVER_TRANSLATE
301,21/S2042.DAT,0x47D5A,46,F9C88ECD2969DE671CF612E935E805461018495418FEDB1302D39A303A425054,E5 02 DD D2 7D 32 DE 46 DE 04 DD 3A B4 E6 00 E5 02 89 97 DE 46 DE 04 DD 3A B4 E6 00 E5 02 DA 25 2A 4D 2D E6 00 E5 02 38 31 56 75 2D E6 00,repeated_external_table_record,"05_docs/test_log.txt:2025; 05_docs/codex_notes.txt:1376-1378; 2026-08-07 read audit: extractor false positive, not dialogue",PROTECT_BYTE_EXACT_NEVER_TRANSLATE
302,21/S2042.DAT,0x47DB2,8,A04C3B33C03E073335DE217E982071A9F6E8139B101ABA245980ADE137818DC2,3D 36 2B 2F 48 30 5D 34,repeated_external_table_record,"05_docs/test_log.txt:2025; 05_docs/codex_notes.txt:1376-1378; 2026-08-07 read audit: extractor false positive, not dialogue",PROTECT_BYTE_EXACT_NEVER_TRANSLATE
303,21/S2042.DAT,0x47DD4,50,34BB9DCC82F39A278F55A2C0C0C137384A328C06860486C94C90F8C84D2D9AF7,E5 02 4A 7E 7D 32 B0 DD 18 E6 00 E5 02 DD 37 44 8B 27 D2 B0 DD 18 E6 00 E5 02 A6 67 6F 4C 27 DD CB B0 DD 18 E6 00 E5 02 DD 34 1B DF 27 27 DD 0A E6 00,repeated_external_table_record,"05_docs/test_log.txt:2025; 05_docs/codex_notes.txt:1376-1378; 2026-08-07 read audit: extractor false positive, not dialogue",PROTECT_BYTE_EXACT_NEVER_TRANSLATE
